ID,InChIKey,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,PredictedSolubility,Residual,AbsoluteResidual,Name,SMILES,abs_residual,MolWt_diff,MolLogP_diff,TPSA_diff,HBA_diff,HBD_diff,Rotatable_diff,rdkit_valid,has_metal,formal_charge,is_charged,atom_count,heavy_atom_count_rdkit,component_count,is_multicomponent,carbon_count,high_mw_95,high_mw_99,high_logp_95,high_logp_99,large_structure_95,large_structure_99,multicomponent_record,extreme_residual_95,extreme_residual_99,id_occurrences,repeated_id,smiles_occurrences,repeated_smiles,single_component,multicomponent,metal_free,neutral,high_mw,very_high_mw,high_logp,very_high_logp,candidate_single_component,candidate_single_neutral,candidate_standard_domain,candidate_conservative_domain,excluded_multicomponent,excluded_metal,excluded_charged,excluded_high_mw,excluded_high_logp
A-2592,DERNUBFICIQBEP-UHFFFAOYSA-N,-6.7316777728,0.0,1,G1,5299.456,49.35297999999974,-34.461686382830266,27.730008610030264,27.730008610030264,"1,4-xylene 4-(methoxycarbonyl)benzoic acid 4-methylbenzoic acid benzoic acid 1,2,4-trimethyl benzene-1,2,4-tricarboxylate 1,2-dimethyl 4-methylbenzene-1,2-dicarboxylate 1,2-dimethyl benzene-1,2-dicarboxylate 1,3-dimethyl benzene-1,3-dicarboxylate 1,4-dimethyl 2-[4-(methoxycarbonyl)phenyl]benzene-1,4-dicarboxylate 1,4-dimethyl benzene-1,4-dicarboxylate 1-[4-(methoxycarbonyl)phenyl]methyl 4-methyl benzene-1,4-dicarboxylate 1-methyl 4-(4-methylphenyl)methyl benzene-1,4-dicarboxylate 2,6-dimethyl 9-oxo-9H-fluorene-2,6-dicarboxylate [4-(methoxycarbonyl)phenyl]methyl 4-methylbenzoate methyl 1-methyl-6-oxo-6H-benzo[c]chromene-4-carboxylate methyl 2-[4-(methoxycarbonyl)phenyl]-4-methylbenzoate methyl 2-[4-(methoxycarbonyl)phenyl]benzoate methyl 3-[4-(methoxycarbonyl)phenyl]benzoate methyl 4-(dimethoxymethyl)benzoate methyl 4-(hydroxymethyl)benzoate methyl 4-[4-(methoxycarbonyl)phenyl]benzoate methyl 4-formylbenzoate methyl 4-methylbenzoate methyl benzoate",COC(OC)c1ccc(cc1)C(=O)OC.COC(=O)c2ccccc2.COC(=O)c3ccc(C)cc3.COC(=O)c4ccc(CO)cc4.COC(=O)c5ccc(COC(=O)c6ccc(C)cc6)cc5.COC(=O)c7ccc(COC(=O)c8ccc(cc8)C(=O)OC)cc7.COC(=O)c9ccc(C=O)cc9.COC(=O)c%10ccc(cc%10)C(O)=O.COC(=O)c%11ccc(cc%11)C(=O)OC.COC(=O)c%12ccc(cc%12)C(=O)OCc%13ccc(C)cc%13.COC(=O)c%14ccc(cc%14)c%15ccc(cc%15)C(=O)OC.COC(=O)c%16ccc(cc%16)c%17cccc(c%17)C(=O)OC.COC(=O)c%18ccc(cc%18)c%19ccccc%19C(=O)OC.COC(=O)c%20ccc(cc%20)c%21cc(C)ccc%21C(=O)OC.COC(=O)c%22ccc(cc%22)c%23cc(ccc%23C(=O)OC)C(=O)OC.COC(=O)c%24cccc(c%24)C(=O)OC.COC(=O)c%25ccc(C(=O)OC)c(c%25)C(=O)OC.COC(=O)c%26ccc%27c(c%26)C(=O)c%28ccc(cc%27%28)C(=O)OC.COC(=O)c%29ccc(C)c%30c%29OC(=O)c%31ccccc%30%31.COC(=O)c%32ccccc%32C(=O)OC.COC(=O)c%33ccc(C)cc%33C(=O)OC.Cc%34ccc(C)cc%34.Cc%35ccc(cc%35)C(O)=O.OC(=O)c%36ccccc%36,27.730008610030264,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,388,388,24,True,299,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
A-2132,UPDSRWJBVPKSST-UHFFFAOYSA-N,-6.8063026109,0.5972571709500003,2,G2,2560.7229999999945,68.54113999999966,-33.89816665686196,27.09186404596196,27.09186404596196,"1,3-dimethyl-5-propylbenzene; 6,6,22,22-tetrabutyloctapentacontane; anthracene; phenylbenzene; tetraheptacontane",CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(CCCC)(CCCC)CCCCCCCCCCCCCCCC(CCCC)(CCCC)CCCCC.CCCc1cc(C)cc(C)c1.c2ccc(cc2)c3ccccc3.c4ccc5cc6ccccc6cc5c4,27.09186404596196,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,185,185,5,True,185,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
A-547,DXACIACMWHJFHD-UHFFFAOYSA-N,-5.4050532611,0.5972571709499999,2,G2,1590.843999999999,40.751839999999945,-20.91849321294892,15.513439951848916,15.513439951848916,"1,3-xylene; 1,4-diethylcyclohexane; 8,15-diethylhexacosane; anthracene; naphthalene; tetradecahydroanthracene; triacontane",CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC.CCCCCCCCCCCC(CC)CCCCCCC(CC)CCCCCCC.CCC1CCC(CC)CC1.Cc2cccc(C)c2.C3CCC4CC5CCCCC5CC4C3.c6ccc7ccccc7c6.c8ccc9cc%10ccccc%10cc9c8,15.513439951848916,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,116,116,7,True,116,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
A-819,ILFKMCMFANUWPS-UHFFFAOYSA-N,-4.5881768419,0.10742192405,2,G3,1588.4030000000002,33.96896000000007,-18.405172377466684,13.816995535566685,13.816995535566685,"(2-phenylbutan-2-yl)benzene; (2-phenylethyl)benzene; 1,2,4,5-tetraethylbenzene; 1-methyl-2-phenylbenzene; 1-methylnaphthalene; benzene; cyclohexylbenzene; ethenylbenzene; ethylbenzene; phenylbenzene; toluene",CCc1ccccc1.CCc2cc(CC)c(CC)cc2CC.CCC(C)(c3ccccc3)c4ccccc4.Cc5ccccc5.Cc6ccccc6c7ccccc7.Cc8cccc9ccccc89.C=Cc%10ccccc%10.C%11CCC(CC%11)c%12ccccc%12.C(Cc%13ccccc%13)c%14ccccc%14.c%15ccccc%15.c%16ccc(cc%16)c%17ccccc%17,13.816995535566685,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,121,121,11,True,121,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
A-184,VBCPUMZLCRUHTJ-VVUJETCRSA-N,-5.345705158,0.0,1,G1,2216.691000000001,29.64000000000008,-18.56141055723612,13.215705399236118,13.215705399236118,{2-hydroxy-3-[(9Z)-octadec-9-enoyloxy]propoxy}boronic acid 2-hydroxy-3-{[hydroxy({2-hydroxy-3-[(9Z)-octadec-9-enoyloxy]propoxy})boranyl]oxy}propyl (9Z)-octadec-9-enoate 3-{[bis({2-hydroxy-3-[(9Z)-octadec-9-enoyloxy]propoxy})boranyl]oxy}-2-hydroxypropyl (9Z)-octadec-9-enoate,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)O.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(O)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC.CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC,13.215705399236118,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,156,156,3,True,126,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
A-4063,RHSGYAYYVYMXIF-UHFFFAOYSA-N,-0.4201864202,0.0,1,G1,588.5120000000004,-40.87319999999999,12.045968060715278,-12.46615448091528,12.46615448091528,"disodium bis[(oxoboranyl)oxy]bicyclo[5.5.1]hexaboroxane-3,5-bis(olate)",O.O.O.O.[Na+].[Na+].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-],12.46615448091528,0.0,0.0,0.0,0.0,0.0,0.0,True,True,-22,True,38,38,14,True,0,True,False,False,False,True,False,True,True,True,1,False,1.0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False
A-2512,OWXXKGVQBCBSFJ-UHFFFAOYSA-N,-5.3590146681,0.3494850021999998,2,G3,2285.675999999996,25.80720000000005,-17.337862547464766,11.978847879364766,11.978847879364766,"N,N',N'',N'''-tetrakis(4,6-bis(butyl-(N-methyl-2,2,6,6-tetramethylpiperidin-4-yl)amino)triazin-2-yl)-4,7-diazadecane-1,10-diamine",CCCCN(C1CC(C)(C)N(C)C(C)(C)C1)c2nc(NCCCN(CCN(CCCNc3nc(nc(n3)N(CCCC)C4CC(C)(C)N(C)C(C)(C)C4)N(CCCC)C5CC(C)(C)N(C)C(C)(C)C5)c6nc(nc(n6)N(CCCC)C7CC(C)(C)N(C)C(C)(C)C7)N(CCCC)C8CC(C)(C)N(C)C(C)(C)C8)c9nc(nc(n9)N(CCCC)C%10CC(C)(C)N(C)C(C)(C)C%10)N(CCCC)C%11CC(C)(C)N(C)C(C)(C)C%11)nc(n2)N(CCCC)C%12CC(C)(C)N(C)C(C)(C)C%12,11.978847879364766,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,True,False,0,False,164,164,1,False,132,True,True,True,True,True,True,False,True,True,1,False,1.0,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True
A-2088,HXKIEMJEEMWSAX-UHFFFAOYSA-N,-6.4814770267,0.0,1,G1,2272.680000000001,27.00160000000004,-17.742911821942734,11.261434795242732,11.261434795242732,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl prop-2-enoate 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl prop-2-enoate 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododecyl prop-2-enoate 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl prop-2-enoate",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,11.261434795242732,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,140,140,4,True,56,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
A-4819,REHXRBDMVPYGJX-UHFFFAOYSA-H,-2.6988459025,0.1835038245758616,3,G5,209.94000000000003,-27.3448,8.104805076451115,-10.803650978951117,10.803650978951117,trisodium hexafluoroalumanetriuide,[F-].[F-].[F-].[F-].[F-].[F-].[Na+].[Na+].[Na+].[Al+3],10.803650978951117,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,True,True,0,False,10,10,10,True,0,False,False,False,False,False,False,True,True,True,1,False,1.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
A-4682,VRSRNLHMYUACMN-UHFFFAOYSA-H,-2.1675670427,0.0,1,G1,161.793,-27.3448,8.239365770935509,-10.406932813635509,10.406932813635509,trilithium(1+) ion hexafluoroalumanetriuide,[Li+].[Li+].[Li+].[F-].[F-].[F-].[F-].[F-].[F-].[Al+3],10.406932813635509,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,True,True,0,False,10,10,10,True,0,False,False,False,False,False,False,True,True,True,1,False,1.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
