ID,repetition,seed,training_reference_count,nearest_training_distance,nearest_training_ID,Solubility,predicted_solubility,absolute_error,novelty_region
H-94,1,100,6912,0.2994619324796642,G-117,-12.95,-9.513094532840908,3.4369054671590917,Low-moderate novelty
B-4424,1,100,6912,0.8376885106386766,B-2954,-12.0605,-10.754146514398055,1.3063534856019423,Moderate-high novelty
A-5961,1,100,6912,0.30192933541077643,C-959,-9.2195295624,-3.836220528175749,5.383309034224251,Low-moderate novelty
B-3124,1,100,6912,1.2952778522001445,B-3159,-11.4817,-9.464521872848287,2.0171781271517126,Highest novelty
A-6058,1,100,6912,0.9745506349839125,A-6060,-7.5280099033,-3.618655214647273,3.9093546886527273,Highest novelty
B-2832,1,100,6912,0.8376885106386776,B-3214,-11.4795,-10.332459173484349,1.147040826515651,Moderate-high novelty
B-2857,1,100,6912,1.295277852200146,C-1000,-11.5827,-10.829598859268687,0.7531011407313137,Highest novelty
B-4428,1,100,6912,0.8376885106386766,B-3159,-10.9486,-9.613468224946365,1.3351317750536378,Moderate-high novelty
H-245,1,100,6912,1.2491006353115588,B-3484,-10.66,-9.450918840330694,1.2090811596693063,Highest novelty
C-2439,1,100,6912,1.2491006353115588,B-3484,-10.3,-9.450918840330694,0.8490811596693071,Highest novelty
A-6085,1,100,6912,0.3016277960725329,A-6059,-8.6461429905,-4.938895532690516,3.7072474578094834,Low-moderate novelty
A-2282,1,100,6912,1.0161060775075206,A-1092,-7.505541952200001,-3.299193026915596,4.206348925284405,Highest novelty
C-1500,1,100,6912,0.2994619324796701,C-1000,-10.6,-8.42832374629579,2.1716762537042094,Low-moderate novelty
B-2388,1,100,6912,1.3122025364444212,A-5600,0.1956,-5.185292689855088,5.380892689855088,Highest novelty
A-4449,1,100,6912,0.6890716947315151,A-2798,-0.6984761494,-7.205700577336265,6.507224427936265,Moderate-high novelty
B-861,1,100,6912,0.35647092656556645,B-864,-9.1627,-7.914466972811144,1.2482330271888546,Low-moderate novelty
B-4423,1,100,6912,0.8080643178461683,B-2042,-9.2068,-7.685390784696208,1.521409215303791,Moderate-high novelty
A-216,1,100,6912,0.26801165787349873,C-1419,-7.6382805905,-3.845074357540854,3.793206232959146,Low-moderate novelty
B-3430,1,100,6912,0.3521306659387973,B-3154,-9.9799,-7.626586205807627,2.353313794192374,Low-moderate novelty
B-4430,1,100,6912,0.8376885106386766,C-874,-9.4728,-7.794814056016446,1.6779859439835532,Moderate-high novelty
B-1886,1,100,6912,0.7255498569025468,B-74,-6.9515,-2.853163579527365,4.098336420472635,Moderate-high novelty
B-4426,1,100,6912,0.8080643178461694,B-2042,-9.0027,-7.685390784696208,1.3173092153037924,Moderate-high novelty
H-517,1,100,6912,0.2994619324796642,B-2954,-10.55,-8.564932039523615,1.9850679604763852,Low-moderate novelty
A-5759,1,100,6912,0.3510258239316159,A-5743,-8.1667842337,-5.076485456606049,3.0902987770939507,Low-moderate novelty
A-5750,1,100,6912,1.1509393381274495,A-4136,-8.2171679788,-4.519645671662119,3.69752230713788,Highest novelty
B-868,1,100,6912,8.429369702178807e-08,B-867,-8.4989,-7.056758442888867,1.4421415571111336,Lowest novelty
B-4432,1,100,6912,0.8080643178461694,B-2042,-8.8744,-7.685390784696208,1.1890092153037912,Moderate-high novelty
A-5267,1,100,6912,0.5026482818918766,C-177,0.9642581623,-3.1503373157127164,4.114595478012716,Moderate-high novelty
B-3020,1,100,6912,0.8811052776733148,B-3484,-9.1609,-7.794814056016446,1.3660859439835535,Highest novelty
A-6010,1,100,6912,0.12484460836311025,A-1982,-7.7440158853,-4.596408363534668,3.147607521765332,Lowest novelty
C-2427,1,100,6912,0.2994619324796701,C-1000,-10.1,-8.42832374629579,1.6716762537042094,Low-moderate novelty
C-1501,1,100,6912,0.2994619324796701,C-1000,-10.1,-8.42832374629579,1.6716762537042094,Low-moderate novelty
C-1499,1,100,6912,0.2994619324796701,C-1000,-10.1,-8.42832374629579,1.6716762537042094,Low-moderate novelty
B-1830,1,100,6912,0.27445288384425676,B-3159,-9.703,-10.000591553049295,0.2975915530492958,Low-moderate novelty
C-2526,1,100,6912,0.45788848527539705,B-708,-8.4,-6.219500380183206,2.1804996198167945,Moderate-high novelty
H-453,1,100,6912,0.8080643178461683,B-2042,-8.77,-7.685390784696208,1.0846092153037912,Moderate-high novelty
A-2442,1,100,6912,0.2794771895521441,B-4470,-7.985818524400001,-4.868283859690753,3.117534664709248,Low-moderate novelty
B-3564,1,100,6912,0.0,B-3580,-8.6679,-7.914466972811144,0.753433027188855,Lowest novelty
B-1861,1,100,6912,0.211653086654462,B-3580,-8.5234,-7.45334518060699,1.0700548193930102,Lowest novelty
B-2748,1,100,6912,0.211653086654462,B-3580,-8.5224,-7.45334518060699,1.069054819393009,Lowest novelty
A-2789,1,100,6912,0.319233736580958,E-1268,-7.8310984133,-5.043684281685724,2.787414131614277,Low-moderate novelty
C-2394,1,100,6912,0.2994619324796701,B-3159,-9.64,-7.792199329677754,1.847800670322246,Low-moderate novelty
B-4431,1,100,6912,0.6165720505681574,B-3484,-8.6456,-7.462978684893165,1.182621315106835,Moderate-high novelty
A-5624,1,100,6912,1.2915508038886887,A-4136,-7.8916361395,-4.240953896605106,3.650682242894894,Highest novelty
B-280,1,100,6912,0.33675810381997306,B-218,1.2572,-3.208676844866079,4.465876844866079,Low-moderate novelty
B-3024,1,100,6912,0.3982831664755273,F-951,-8.402999999999999,-6.551733071863462,1.8512669281365364,Moderate-high novelty
C-1069,1,100,6912,1.3079237159120436,B-3576,-8.83,-7.11882860235163,1.7111713976483705,Highest novelty
A-5998,1,100,6912,0.3322272105097328,A-2565,-7.7185099927,-6.01942075383917,1.6990892388608296,Low-moderate novelty
C-2381,1,100,6912,0.2994619324796642,B-3159,-9.54,-7.792199329677754,1.7478006703222446,Low-moderate novelty
A-2293,1,100,6912,0.40635005775646477,A-2565,-7.591458633999999,-5.507907306513951,2.083551327486049,Moderate-high novelty
C-1481,1,100,6912,0.2994619324796701,B-3159,-9.5,-7.792199329677754,1.7078006703222457,Low-moderate novelty
B-3563,1,100,6912,0.0,C-1013,-8.1924,-7.588463254040712,0.6039367459592873,Lowest novelty
C-1483,1,100,6912,0.2994619324796701,B-3159,-9.46,-7.792199329677754,1.6678006703222463,Low-moderate novelty
B-3583,1,100,6912,0.0,B-3580,-8.4318,-7.914466972811144,0.5173330271888563,Lowest novelty
B-4427,1,100,6912,0.25309118651506723,B-2041,-7.8292,-5.735430618112747,2.0937693818872534,Low-moderate novelty
A-2796,1,100,6912,0.4193511397432753,F-951,-8.0974343241,-5.460658228123588,2.636776095976412,Moderate-high novelty
C-2426,1,100,6912,0.924720608399057,B-708,-8.57,-6.853348765798888,1.7166512342011124,Highest novelty
A-5755,1,100,6912,0.9973084012144131,A-2741,-8.2138073561,-5.438034462629907,2.7757728934700934,Highest novelty
B-3256,1,100,6912,0.34459671733429637,C-2460,-8.5758,-6.564054713329042,2.011745286670957,Low-moderate novelty
A-5929,1,100,6912,0.7061795090540284,C-2515,-8.4645677849,-6.76405148245459,1.7005163024454095,Moderate-high novelty
C-1455,1,100,6912,0.2994619324796672,B-3207,-8.94,-7.618851886867812,1.3211481131321872,Low-moderate novelty
A-3374,1,100,6912,1.6750548085104333,C-2576,0.0571886956,-3.02147723192022,3.07866592752022,Highest novelty
A-5699,1,100,6912,0.5904588066017489,F-738,-7.9318570783,-5.210695569558173,2.721161508741827,Moderate-high novelty
F-1055,1,100,6912,0.3098066457730549,A-2126,-7.53,-4.410571630481867,3.119428369518133,Low-moderate novelty
B-2534,1,100,6912,0.0,B-2022,-7.9743,-7.183619642309667,0.7906803576903334,Lowest novelty
B-2967,1,100,6912,0.27445288384425837,B-2846,-7.8566,-6.697709476616844,1.1588905233831568,Low-moderate novelty
A-2294,1,100,6912,0.3183695917535632,C-2463,-7.5491813124,-5.080901001480349,2.468280310919651,Low-moderate novelty
B-2968,1,100,6912,0.27445288384425837,B-4108,-7.8228,-6.697709476616844,1.1250905233831563,Low-moderate novelty
B-3401,1,100,6912,0.4141162191852377,B-3164,-8.6113,-6.776088678881,1.835211321119,Moderate-high novelty
A-5696,1,100,6912,0.46771811213801795,C-2515,-7.981147656799999,-5.975885899573022,2.005261757226977,Moderate-high novelty
B-2572,1,100,6912,0.27445288384425837,B-4108,-7.7954,-6.697709476616844,1.0976905233831564,Low-moderate novelty
B-2750,1,100,6912,0.27445288384425676,B-2762,-8.775,-9.444804400073645,0.6698044000736445,Low-moderate novelty
A-5625,1,100,6912,0.0,A-2060,-7.7579945848,-5.494256080709561,2.2637385040904388,Lowest novelty
H-219,1,100,6912,0.2994619324796701,B-3159,-9.12,-7.792199329677754,1.3278006703222447,Low-moderate novelty
C-1441,1,100,6912,0.2994619324796672,B-3207,-8.78,-7.618851886867812,1.161148113132187,Low-moderate novelty
A-5483,1,100,6912,0.4335430850963628,C-552,0.2567187446,-3.7099091811468656,3.9666279257468657,Moderate-high novelty
A-5895,1,100,6912,0.5089067130430722,A-2342,-7.581973548400001,-5.419210993806012,2.1627625545939884,Moderate-high novelty
B-1126,1,100,6912,0.5151394090359082,A-2597,-7.3387,-4.740830884667371,2.597869115332629,Moderate-high novelty
B-2167,1,100,6912,0.08445463514830095,B-4285,-7.3213,-5.633212789274517,1.6880872107254827,Lowest novelty
C-1487,1,100,6912,0.2994619324796642,B-3159,-9.09,-7.792199329677754,1.297800670322245,Low-moderate novelty
C-1437,1,100,6912,0.2994619324796672,B-3207,-8.72,-7.618851886867812,1.1011481131321883,Low-moderate novelty
C-1485,1,100,6912,0.2994619324796701,B-3159,-9.05,-7.792199329677754,1.2578006703222462,Low-moderate novelty
A-1893,1,100,6912,0.27384332414256213,D-1546,0.652738306,-2.118724932841588,2.771463238841588,Low-moderate novelty
A-2206,1,100,6912,0.3542956384430921,B-961,-6.2534935167,-3.3559989422515843,2.8974945744484155,Low-moderate novelty
F-1064,1,100,6912,0.15924549744264305,A-2274,-7.33,-4.824076754634692,2.505923245365308,Lowest novelty
B-3566,1,100,6912,0.0,E-1036,-7.3854,-6.886722159332714,0.4986778406672858,Lowest novelty
A-5847,1,100,6912,0.4740440401893056,A-1234,-7.0220260604,-5.462772413486738,1.5592536469132616,Moderate-high novelty
A-2217,1,100,6912,0.33062988240701535,C-2478,-6.4889092646,-3.8409761508787024,2.647933113721298,Low-moderate novelty
C-2243,1,100,6912,0.21752848309129957,B-1827,-8.25,-7.113048565080484,1.1369514349195162,Lowest novelty
F-1061,1,100,6912,0.4496586525122818,F-865,-7.54,-5.503069154199997,2.0369308458000037,Moderate-high novelty
A-5107,1,100,6912,0.3458333235129976,A-2797,-7.6154082599,-6.338698949270179,1.2767093106298208,Low-moderate novelty
A-5896,1,100,6912,0.48759266473270174,A-5743,-7.5579677799,-5.776478981705161,1.7814887981948395,Moderate-high novelty
C-1488,1,100,6912,0.2994619324796701,B-3159,-8.89,-7.792199329677754,1.097800670322246,Low-moderate novelty
