ID,observed_solubility,mean_prediction,residual,absolute_error,prediction_sd,prediction_range,prediction_count,nearest_neighbor_distance,mean_knn_distance,median_knn_distance,maximum_knn_distance,applicability_domain,observed_solubility_region,high_error,high_uncertainty,high_error_high_uncertainty,failure_mode,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3
A-5980,-9.0249738719,-2.269105694460059,-6.755868177439941,6.755868177439941,0.3837913468875095,0.8649862358501381,4,1.3383774983177146,1.3531244391032424,1.3551591851404423,1.377922485420831,Out-of-domain,< -6,True,True,True,High-error + high-uncertainty,423.6760000000001,-0.917,3,0,0,1.0
H-94,-12.95,-9.16328277917671,-3.7867172208232898,3.7867172208232898,0.2758229709886295,0.7108899183596833,6,0.4327869492964816,0.779016508733667,0.8655738985929633,0.8655738985929636,Borderline,< -6,True,True,True,High-error + high-uncertainty,514.6610000000003,10.0129,2,2,2,0.0
B-2402,-13.1719,-8.789050311022926,-4.382849688977075,4.382849688977075,1.4075187678818049,1.9905321308331168,2,2.1508010304159257,2.413042537405318,2.35342883409128,2.7142279840332737,Out-of-domain,< -6,True,True,True,High-error + high-uncertainty,653.73,9.716199999999992,5,0,0,0.7777777777777778
A-6060,-7.5649937324,-4.2441886334396015,-3.320805098960398,3.320805098960398,1.216103579681944,2.122666214063318,3,0.9422935833559863,1.5451701641830766,1.656478048826782,1.7915006056333105,Out-of-domain,< -6,True,True,True,High-error + high-uncertainty,367.2770000000001,-2.7986999999999984,4,2,0,0.0
B-4424,-12.0605,-9.98878443404161,-2.071715565958389,2.071715565958389,1.1644847819540602,2.487200867633936,4,0.4327869492964808,0.8039712324479179,0.9071651047833824,0.9071651047833824,Out-of-domain,< -6,True,True,True,High-error + high-uncertainty,459.75400000000025,8.8118,3,2,0,0.0
A-5961,-9.2195295624,-3.898617926477868,-5.320911635922132,5.320911635922132,0.0882432469356527,0.1247947966042382,2,0.28985572463584836,0.38339696432063614,0.4022116626235347,0.44472980240807164,In-domain,< -6,True,False,False,High-error + stable,371.34500000000014,2.3017000000000003,3,2,5,0.2105263157894736
B-3124,-11.4817,-8.688705979098737,-2.792994020901263,2.792994020901263,0.7384833138254564,1.4702199728231138,3,0.4327869492964803,0.6233812276300507,0.4327869492964811,0.9529713916678502,Borderline,< -6,True,True,True,High-error + high-uncertainty,409.31000000000006,8.159799999999999,3,3,0,0.0
A-6058,-7.5280099033,-3.5978307689828526,-3.9301791343171475,3.9301791343171475,0.0294502134875246,0.0416488913288404,2,0.9422935833559863,1.1762584675672039,1.1916059975398459,1.2929829934546013,Out-of-domain,< -6,True,False,False,High-error + stable,337.2950000000001,-1.8951199999999984,3,2,1,0.0625
B-2832,-11.4795,-9.38044863165818,-2.0990513683418204,2.0990513683418204,0.984110333522699,2.1220486855347787,4,0.4327869492964808,0.6784861532246366,0.754117864153876,0.9071651047833823,Borderline,< -6,True,True,True,High-error + high-uncertainty,425.3090000000002,8.1584,3,2,0,0.0
B-2857,-11.5827,-9.863077540354276,-1.7196224596457252,1.7196224596457252,1.111511737936978,2.181106631747012,3,0.4327869492964811,0.824644567720185,0.8655738985929617,1.006316700450671,Out-of-domain,< -6,True,True,True,High-error + high-uncertainty,443.7550000000001,8.813199999999998,3,3,0,0.0
B-4428,-10.9486,-8.845634106106058,-2.102965893893943,2.102965893893943,0.7367777369918813,1.6400857956810508,4,0.4327869492964808,0.6540819851815411,0.7541178641538757,0.865573898592962,Borderline,< -6,True,True,True,High-error + high-uncertainty,390.86400000000015,7.505000000000001,3,2,0,0.0
A-2317,-8.9260164319,-3.972794125787691,-4.95322230611231,4.95322230611231,0.0720839903853457,0.1019421568329277,2,0.27089829082864075,0.34236720045841984,0.3447096609523135,0.40376368563667653,In-domain,< -6,True,False,False,High-error + stable,278.311,3.1073000000000013,3,2,3,0.0588235294117647
A-5817,-8.2650486602,-3.4406202947775806,-4.824428365422419,4.824428365422419,0.0,0.0,1,0.8987408303092983,1.1211466644044346,1.1213932121949373,1.275282190734434,Out-of-domain,< -6,True,False,False,High-error + stable,423.4250000000002,0.4816,4,4,7,0.2727272727272727
H-245,-10.66,-8.65934801706546,-2.0006519829345404,2.0006519829345404,0.7534283243334035,1.499951762255873,3,4.440892098500626e-16,0.5193443391557772,0.43278694929648115,0.8655738985929621,In-domain,< -6,True,True,True,High-error + high-uncertainty,374.86500000000007,7.5064,3,3,0,0.0
A-6091,-8.782716219400001,-4.130217300407173,-4.652498918992828,4.652498918992828,0.0658735080323608,0.0931592084604577,2,0.573846752418789,0.6550917156128246,0.6344983663316128,0.7423375702517524,Borderline,< -6,True,False,False,High-error + stable,424.43800000000016,2.06088,3,2,5,0.1
B-1492,0.2956,-5.7339889691183785,6.029588969118379,6.029588969118379,0.124185614736095,0.2371151509478535,3,0.5815210225380768,0.8007017852713612,0.8478200310208807,0.892464485447575,Out-of-domain,>= 0,True,False,False,High-error + stable,506.2550000000003,5.687600000000006,0,0,18,1.0
