distance_metric,target,pearson_r,pearson_p,spearman_r,spearman_p
nearest_neighbor_distance,absolute_error,0.17960690477517918,4.003359630717227e-60,0.1259693050529802,3.212036381429551e-30
nearest_neighbor_distance,prediction_sd,0.20450279819573539,9.002728266409964e-78,0.036784068033096265,0.000889207734277463
nearest_neighbor_distance,prediction_range,0.19034903663383793,1.9392228785105676e-67,0.02040340697559615,0.0653283251511729
nearest_neighbor_distance,residual,-0.00336004666521427,0.7615267486345408,0.011002053251664486,0.3203576467001668
mean_knn_distance,absolute_error,0.20914303208235874,2.46888788315269e-81,0.1689585471064343,2.570845584700423e-53
mean_knn_distance,prediction_sd,0.2550989796920966,2.168675848357544e-121,0.09177182451082848,9.876513265498476e-17
mean_knn_distance,prediction_range,0.23686312416518523,1.93230097238036e-104,0.06893051058648422,4.5717458614801976e-10
mean_knn_distance,residual,0.005425201020420479,0.624132707575975,0.02063350921273533,0.06235066184501852
maximum_knn_distance,absolute_error,0.2107912787400963,1.2776635147058516e-82,0.17547031064831597,1.9913209354149268e-57
maximum_knn_distance,prediction_sd,0.2653380549736856,1.560723728852424e-131,0.11035378592252033,1.5617146648768438e-23
maximum_knn_distance,prediction_range,0.24611130296170447,7.357200848287962e-113,0.08732456746375779,2.7412108595615133e-15
maximum_knn_distance,residual,0.004927038156619167,0.6563145025693035,0.02113665672825089,0.056229535928261264
