ID,observed_solubility,mean_prediction,residual,absolute_error,prediction_sd,prediction_range,nearest_neighbor_distance,mean_knn_distance,maximum_knn_distance,applicability_domain,failure_mode,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3
A-2607,-5.6698930776,-3.3131716119377366,-2.3567214656622637,2.3567214656622637,0.7325367395757466,1.4602806341729204,4.973794606862019,5.403908847382967,5.519425837961967,Out-of-domain,High-error + high-uncertainty,140.286,-2.4172,13,0,0,0.0
A-5022,-4.672731896,-8.258095202735548,3.585363306735548,3.585363306735548,0.3893300140410286,0.5505957860957302,2.04328752127895,2.6310572131540977,2.997812786988012,Out-of-domain,High-error + high-uncertainty,847.2359999999995,7.777400000000011,4,0,11,0.9166666666666666
B-2402,-13.1719,-8.789050311022926,-4.382849688977075,4.382849688977075,1.4075187678818049,1.9905321308331168,2.1508010304159257,2.413042537405318,2.7142279840332737,Out-of-domain,High-error + high-uncertainty,653.73,9.716199999999992,5,0,0,0.7777777777777778
A-220,-8.1852587653,-6.995339611053652,-1.1899191542463488,1.1899191542463488,0.3363466284029422,0.4756659635459046,1.8346956129205454,2.182557657708325,2.5944834754671833,Out-of-domain,High-error + high-uncertainty,765.9999999999998,10.377099999999992,4,4,21,0.4545454545454545
A-199,-7.5558815137,-5.9729562820757325,-1.5829252316242677,1.5829252316242677,0.6324065941434996,0.8943579823719148,1.7794235535555767,2.1511487002339,3.0209941712622825,Out-of-domain,High-error + high-uncertainty,899.1279999999997,5.911600000000007,8,0,7,0.78
A-3374,0.0571886956,-3.2407872947729883,3.297975990372988,3.297975990372988,0.3101512652512807,0.4386201257055364,1.6294349371748793,2.0615409444448147,2.277951295936788,Out-of-domain,High-error + high-uncertainty,530.6180000000004,2.116999999999999,3,2,20,0.5
C-1001,-2.2,-4.160611162905603,1.9606111629056029,1.9606111629056029,0.291248185485562,0.5789371766682585,0.4258102534211752,1.948208513965961,2.484052247541806,Out-of-domain,High-error + high-uncertainty,747.964,2.4397000000000046,3,0,8,0.9473684210526316
A-3074,-4.8472795348,-7.649634389860824,2.802354855060824,2.802354855060824,0.3142030896381792,0.577346972020977,1.5034131101920922,1.947449786880739,2.5303254621158286,Out-of-domain,High-error + high-uncertainty,562.8200000000002,9.8817,3,3,21,0.5
C-991,-1.27,-3.3351406430192156,2.0651406430192156,2.0651406430192156,0.1814077611017725,0.3548100069706952,0.4258102534211752,1.818855050990693,2.4397110276329648,Out-of-domain,High-error + high-uncertainty,733.9370000000001,1.785600000000004,3,0,7,0.945945945945946
A-2049,-5.8357203688,-7.541073829178749,1.705353460378749,1.705353460378749,0.3528673365454228,0.6487094025808391,1.5745588034179003,1.729426992602491,1.9563153414661387,Out-of-domain,High-error + high-uncertainty,685.047,9.095500000000005,3,1,9,0.8095238095238095
C-1069,-8.83,-7.260894876191897,-1.5691051238081029,1.5691051238081029,0.4962796956883893,1.1776208313363918,1.2660903278481435,1.7068099933649268,1.971402545713463,Out-of-domain,High-error + high-uncertainty,300.36,6.919200000000003,7,7,0,0.0
A-5951,-9.227651248,-7.613885247497873,-1.6137660005021282,1.6137660005021282,0.2248132989917503,0.3179340164359709,1.2052552131410244,1.6994089873905238,2.306946881885976,Out-of-domain,High-error + high-uncertainty,844.5419999999999,10.295399999999994,8,6,8,0.0
A-5480,-4.4504277175,-8.601080622858518,4.150652905358518,4.150652905358518,0.5707069714333612,0.807101539141934,1.3723081579943304,1.6908131106389253,1.962719418989966,Out-of-domain,High-error + high-uncertainty,564.232,8.3178,8,8,0,0.0
A-2453,-4.9504317948,-7.256968757892025,2.306536963092025,2.306536963092025,0.3891730419002065,0.8984365897344979,1.148643380756512,1.6670918872353866,2.018374175236533,Out-of-domain,High-error + high-uncertainty,713.71,6.146200000000004,8,6,7,0.048780487804878
A-5479,-4.5222231174,-6.046243196309739,1.5240200789097385,1.5240200789097385,0.3249033818870019,0.7816093157782422,0.0,1.6602208890452197,2.2380074818248286,Out-of-domain,High-error + high-uncertainty,665.6610000000003,6.754900000000005,9,9,4,0.0
C-1524,-6.33,-4.499482611901632,-1.830517388098368,1.830517388098368,0.2883017581498188,0.4077202564314817,1.4283574593426258,1.6474303350072064,1.9259189877630076,Out-of-domain,High-error + high-uncertainty,853.9180000000001,3.735700000000003,7,3,10,0.4468085106382978
A-5609,-5.949075231,-7.696373917737244,1.7472986867372438,1.7472986867372438,0.1499295058591979,0.283587700703058,1.353688591408446,1.630464087598353,1.9984539169079834,Out-of-domain,High-error + high-uncertainty,706.1479999999996,9.482999999999995,1,1,14,0.6666666666666666
A-2709,-7.1238862525,-5.857628773679288,-1.2662574788207124,1.2662574788207124,0.1579817196384397,0.311819159311538,0.8574775552363498,1.5544375489734876,1.9325242345523803,Out-of-domain,High-error + high-uncertainty,665.0529999999999,11.118799999999991,0,0,36,0.8536585365853658
A-6060,-7.5649937324,-4.2441886334396015,-3.320805098960398,3.320805098960398,1.216103579681944,2.122666214063318,0.9422935833559863,1.5451701641830766,1.7915006056333105,Out-of-domain,High-error + high-uncertainty,367.2770000000001,-2.7986999999999984,4,2,0,0.0
A-5474,-4.3931837232,-7.21470360327629,2.8215198800762904,2.8215198800762904,0.4133565337510264,0.768055947559203,1.113546985361383,1.5298606749974666,1.8112334422219307,Out-of-domain,High-error + high-uncertainty,494.55400000000026,6.515600000000005,8,6,3,0.125
G-882,-3.931,-5.915836462785634,1.9848364627856343,1.9848364627856343,0.2300494903223329,0.3253391092308613,1.4531825916098633,1.499783140245514,1.5610612894840987,Out-of-domain,High-error + high-uncertainty,511.5810000000002,4.289400000000002,7,4,5,0.1515151515151515
A-1490,1.5823133383,-0.487803350401436,2.070116688701436,2.070116688701436,0.4616059152593053,0.6528093458313552,0.8177760432779546,1.484704549915645,1.9304170175331024,Out-of-domain,High-error + high-uncertainty,500.65800000000047,0.7696000000000052,1,0,27,1.0
A-2790,-7.946874563300001,-4.615769168753628,-3.3311053945463724,3.3311053945463724,0.1881200483551158,0.2660419237380873,1.2239220817979244,1.4758273404922575,1.8298714785969723,Out-of-domain,High-error + high-uncertainty,442.4300000000002,4.140600000000002,7,7,0,0.0
A-6040,-8.4761487948,-5.646167008918721,-2.8299817858812792,2.8299817858812792,0.7259034407647346,1.4384172812462142,1.1475172199412147,1.418114934746503,1.7451071267489633,Out-of-domain,High-error + high-uncertainty,598.6580000000001,7.414600000000006,9,7,6,0.1
A-2119,-6.2014353624,-7.392234276971972,1.190798914571972,1.190798914571972,0.308157934135539,0.754481862578559,0.8418532621009507,1.415976769048865,1.7555268975356038,Out-of-domain,High-error + high-uncertainty,795.07,10.877799999999992,4,4,11,0.48
A-2036,-5.7380720068,-7.946914932500125,2.2088429257001243,2.2088429257001243,0.4059110754789904,0.9282836256119182,1.290936943213983,1.4133651544895212,1.505097675695779,Out-of-domain,High-error + high-uncertainty,574.4620000000002,8.9764,5,5,12,0.0
A-2004,-5.506567842999999,-7.03177819771467,1.5252103547146705,1.5252103547146705,0.596956313572884,1.0992897800329606,1.287258529753361,1.3816313747269722,1.5109920170344595,Out-of-domain,High-error + high-uncertainty,449.4650000000002,6.354100000000004,8,7,0,0.0
A-5625,-7.7579945848,-5.477068031555599,-2.2809265532444005,2.2809265532444005,0.331059038936412,0.7974511749533324,4.440892098500626e-16,1.3788358093906492,2.31412138259152,Out-of-domain,High-error + high-uncertainty,412.4080000000001,4.344000000000003,8,8,0,0.0
A-2622,-6.417202563200001,-1.0753990018830895,-5.341803561316912,5.341803561316912,0.407731363902464,0.803318716530891,0.8177760432779546,1.3602046697387045,1.7333030051120266,Out-of-domain,High-error + high-uncertainty,522.6760000000004,1.9984000000000008,1,0,25,0.9615384615384616
A-5980,-9.0249738719,-2.269105694460059,-6.755868177439941,6.755868177439941,0.3837913468875095,0.8649862358501381,1.3383774983177146,1.3531244391032424,1.377922485420831,Out-of-domain,High-error + high-uncertainty,423.6760000000001,-0.917,3,0,0,1.0
A-2757,-7.4761487948,-5.791834878046224,-1.6843139167537764,1.6843139167537764,0.6255120871220545,0.8846076770363105,0.6426292279329545,1.350418199752842,1.8112334422219307,Out-of-domain,High-error + high-uncertainty,598.6580000000001,8.572080000000001,9,7,2,0.1
A-1505,-4.524775941100001,-6.120070359867791,1.5952944187677902,1.5952944187677902,0.587163101713816,0.8303740217687317,0.6426292279329545,1.3409035169821226,1.8683494803708407,Out-of-domain,High-error + high-uncertainty,639.4540000000002,7.630800000000004,9,7,2,0.0
A-5665,-7.9658105639,-6.5441396883355845,-1.4216708755644154,1.4216708755644154,0.240897750021578,0.4751944893356432,1.0676050872862017,1.3122092657334625,1.389769550991032,Out-of-domain,High-error + high-uncertainty,545.3340000000001,10.912199999999988,0,0,21,1.0
A-481,-3.8360757577,-5.1846856770040874,1.3486099193040872,1.3486099193040872,0.5567235535490428,0.994301141876254,1.1357957334265798,1.2841435916773845,1.4692391185241318,Out-of-domain,High-error + high-uncertainty,438.7890000000002,5.921700000000004,0,0,27,0.925925925925926
A-6088,-8.848512616699999,-6.996893456148895,-1.8516191605511043,1.8516191605511043,0.6149091001168298,0.8696127890118559,0.9166926443536494,1.2704083330185287,1.6383163882464071,Out-of-domain,High-error + high-uncertainty,570.7700000000002,8.852300000000003,4,3,3,0.4594594594594595
A-5930,-8.6670954079,-6.518537569713167,-2.148557838186833,2.148557838186833,0.3434383812533753,0.6262766606404799,1.1321957026963851,1.248662984847302,1.3275036025918607,Out-of-domain,High-error + high-uncertainty,696.926,6.172000000000007,2,2,12,0.6
A-5578,-6.813060611,-8.460397724015674,1.6473371130156744,1.6473371130156744,0.7220913665746544,1.0211914038823986,0.3875149577918206,1.2427587975544152,1.6208506102416045,Out-of-domain,High-error + high-uncertainty,604.7050000000002,9.868199999999996,4,2,4,0.6363636363636364
B-13,-3.9208,-5.6005251942702055,1.6797251942702056,1.6797251942702056,0.1587025086925454,0.2931730755880313,0.0,1.2140451215489994,1.667927599585232,Out-of-domain,High-error + high-uncertainty,608.6880000000003,4.171100000000004,6,3,8,0.5151515151515151
A-5999,-6.7715099068,-5.516692758194875,-1.2548171486051256,1.2548171486051256,0.4075446573459165,0.7901582277406458,0.9718697159795798,1.2093290083882595,1.3832687737193243,Out-of-domain,High-error + high-uncertainty,425.4440000000002,3.5328200000000027,6,5,4,0.2
B-2382,-6.6637,-4.795662366213143,-1.8680376337868578,1.8680376337868578,0.2538608398277414,0.4532557793377227,1.0063830744571174,1.1903110184318062,1.2534345410843513,Out-of-domain,High-error + high-uncertainty,461.02200000000016,3.4106000000000014,2,1,5,0.0
A-5621,-7.9052553562,-5.568427608168413,-2.3368277480315864,2.3368277480315864,0.5880699826166443,1.0837565691926478,1.060747135325812,1.1808897501177928,1.3210910651905663,Out-of-domain,High-error + high-uncertainty,627.1190000000001,4.817300000000004,4,3,11,0.2333333333333333
A-5853,-7.5095589026,-6.139850977663507,-1.3697079249364936,1.3697079249364936,0.6534922272067457,0.92417757062118,0.9663580324352723,1.1606227896667565,1.2874002456960763,Out-of-domain,High-error + high-uncertainty,501.061,5.750900000000004,2,0,8,0.7647058823529411
