ID,InChIKey,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,PredictedSolubility,Residual,AbsoluteResidual
A-2592,DERNUBFICIQBEP-UHFFFAOYSA-N,-6.7316777728,0.0,1,G1,5299.456,49.35297999999974,-34.461686382830266,27.730008610030264,27.730008610030264
A-2132,UPDSRWJBVPKSST-UHFFFAOYSA-N,-6.8063026109,0.5972571709500003,2,G2,2560.7229999999945,68.54113999999966,-33.89816665686196,27.09186404596196,27.09186404596196
A-547,DXACIACMWHJFHD-UHFFFAOYSA-N,-5.4050532611,0.5972571709499999,2,G2,1590.843999999999,40.751839999999945,-20.918493212948917,15.513439951848916,15.513439951848916
A-819,ILFKMCMFANUWPS-UHFFFAOYSA-N,-4.5881768419,0.10742192405,2,G3,1588.4030000000002,33.96896000000007,-18.405172377466684,13.816995535566683,13.816995535566683
A-184,VBCPUMZLCRUHTJ-VVUJETCRSA-N,-5.345705158,0.0,1,G1,2216.691000000001,29.64000000000008,-18.56141055723612,13.215705399236118,13.215705399236118
A-4063,RHSGYAYYVYMXIF-UHFFFAOYSA-N,-0.4201864202,0.0,1,G1,588.5120000000004,-40.87319999999999,12.045968060715278,-12.466154480915279,12.466154480915279
A-2512,OWXXKGVQBCBSFJ-UHFFFAOYSA-N,-5.3590146681,0.3494850021999998,2,G3,2285.675999999996,25.80720000000005,-17.337862547464766,11.978847879364766,11.978847879364766
A-2088,HXKIEMJEEMWSAX-UHFFFAOYSA-N,-6.4814770267,0.0,1,G1,2272.680000000001,27.00160000000004,-17.742911821942734,11.261434795242733,11.261434795242733
A-4819,REHXRBDMVPYGJX-UHFFFAOYSA-H,-2.6988459025,0.1835038245758616,3,G5,209.94000000000003,-27.3448,8.104805076451115,-10.803650978951115,10.803650978951115
A-4682,VRSRNLHMYUACMN-UHFFFAOYSA-H,-2.1675670427,0.0,1,G1,161.793,-27.3448,8.239365770935509,-10.406932813635509,10.406932813635509
A-2084,SYHCUZIBEFBVNF-UHFFFAOYSA-H,-6.4900690111,0.0,1,G1,2404.9409999999984,22.23490000000001,-16.351099892334936,9.861030881234935,9.861030881234935
A-5550,KFCWRPFNNIEZRY-UHFFFAOYSA-H,-7.4985586512,0.0,1,G1,504.2880000000002,-12.197899999999992,1.6848834969111088,-9.183442148111109,9.183442148111109
A-5823,GRQXGJNOPVEUOS-UHFFFAOYSA-N,-9.052340862,0.0,1,G1,2256.164999999997,27.923520000000096,-18.03743585235637,8.985094990356371,8.985094990356371
A-4852,ZVBGUWYOZNSIJF-UHFFFAOYSA-N,-3.5397404208,0.2581190322443503,3,G5,1039.589,21.75128000000002,-12.356515863959487,8.816775443159488,8.816775443159488
A-2753,SWOKSHSHKMKETQ-WIBNQTOSSA-N,-7.800359899299999,0.0,1,G1,1452.4049999999995,29.98030000000008,-16.551144752194652,8.750784852894654,8.750784852894654
A-2336,IBZATQUGDOLKJX-GPRJLHHYSA-N,-5.4491260218,0.0,1,G1,1231.9699999999991,25.11710000000004,-14.137962060346918,8.688836038546919,8.688836038546919
A-2461,JVQCNSRVEPWJNL-UHFFFAOYSA-L,-5.4154147676,0.0,1,G1,1301.321999999999,23.953500000000037,-13.901797521149785,8.486382753549785,8.486382753549785
