feature,target,pearson_r,pearson_p,spearman_r,spearman_p
rdkit_molwt,error_magnitude,0.2125567722521926,5.207904890750225e-84,0.19491700850432367,1.0955177094484957e-70
rdkit_molwt,prediction_uncertainty,0.21453263452950894,1.4006602637391575e-85,0.09752443287692335,1.0528550984558318e-18
rdkit_molwt,prediction_range,0.21604860028320175,8.526230204538739e-87,0.08653129059545087,4.874867458538322e-15
rdkit_mollogp,error_magnitude,0.12212427990537911,1.7231393702502361e-28,0.09846662211370971,4.875256381658505e-19
rdkit_mollogp,prediction_uncertainty,0.22105425056200528,7.086372409767062e-91,0.12140953414706243,3.5630627096897014e-28
rdkit_mollogp,prediction_range,0.23696518597932192,1.5672034624585727e-104,0.1271570137365968,9.151967027504605e-31
rdkit_ring_count,error_magnitude,0.12177066064492464,2.4697316542345548e-28,0.09544462195170779,5.612385118757477e-18
rdkit_ring_count,prediction_uncertainty,0.05041860818121022,5.197588187893385e-06,-0.014845180635467714,0.17996137691906494
rdkit_ring_count,prediction_range,0.04041528557890903,0.00026045407171467014,-0.036109448819581474,0.0011046190144814593
rdkit_aromatic_rings,error_magnitude,0.12383871507973941,2.963970986401032e-29,0.07800725470897385,1.7101699711813302e-12
rdkit_aromatic_rings,prediction_uncertainty,-0.028219309428539705,0.010795672493985178,-0.0753962192768763,9.141538046123867e-12
rdkit_aromatic_rings,prediction_range,-0.020384967656634286,0.06557193169688913,-0.0771093112078043,3.0627895415474447e-12
rdkit_rotatable_bonds,error_magnitude,0.15090812813062987,9.039877800786304e-43,0.11320042730280908,1.0993746950758547e-24
rdkit_rotatable_bonds,prediction_uncertainty,0.3163371123288596,4.619045673416611e-189,0.07579791321234404,7.089145902058206e-12
rdkit_rotatable_bonds,prediction_range,0.3161652564623762,7.563903904536614e-189,0.07649447975719796,4.547316090313812e-12
rdkit_fraction_csp3,error_magnitude,-0.017092895427092927,0.1226067582358008,-0.01360319276133941,0.21919106729619395
rdkit_fraction_csp3,prediction_uncertainty,0.15547301679898456,2.548025061897736e-45,0.09967937097943165,1.7901762079868663e-19
rdkit_fraction_csp3,prediction_range,0.13629906189177016,3.88740099485188e-35,0.08838106306139878,1.2631961276925738e-15
