ID,InChIKey,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,PredictedSolubility,Residual,AbsoluteResidual,Name,SMILES,abs_residual,MolWt_diff,MolLogP_diff,TPSA_diff,HBA_diff,HBD_diff,Rotatable_diff,rdkit_valid,has_metal,formal_charge,is_charged,atom_count,heavy_atom_count_rdkit,component_count,is_multicomponent,carbon_count,high_mw_95,high_mw_99,high_logp_95,high_logp_99,large_structure_95,large_structure_99,multicomponent_record,extreme_residual_95,extreme_residual_99,id_occurrences,repeated_id,smiles_occurrences,repeated_smiles,single_component,metal_free,neutral,very_high_mw,very_high_logp,standard_analytical_domain,rdkit_valid_structure,rdkit_molwt,rdkit_mollogp,rdkit_tpsa,rdkit_hbd,rdkit_hba,rdkit_rotatable_bonds,rdkit_heavy_atom_count,rdkit_heteroatom_count,rdkit_aromatic_rings,rdkit_saturated_rings,rdkit_aliphatic_rings,rdkit_ring_count,rdkit_fraction_csp3,rdkit_molmr,rdkit_labute_asa,rdkit_balaban_j,rdkit_bertz_ct,max_fused_aromatic_ring_size,n_fused_aromatic_systems
A-5980,JEPVJCOLPSALKN-UHFFFAOYSA-N,-9.0249738719,0.0,1,G1,423.6760000000001,-0.917,-2.258489076951582,-6.766484794948418,6.766484794948418,"2,5,7,10,11,14-hexaoxa-1,6-distibabicyclo[4.4.4]tetradecane",C1CO[Sb]2OCCO[Sb](O1)OCCO2,6.766484794948418,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,14,14,1,False,6,False,False,False,False,False,False,False,True,True,1,False,1.0,False,True,True,True,False,False,True,True,423.6760000000001,-0.917,55.38000000000001,0,6,0,14,8,0,3,3,3,1.0,47.22000000000003,100.02012309984376,1.9280860863982685,123.871393939095,0,0
H-94,CIPFDHFTBYJKQB-UHFFFAOYSA-N,-12.95,0.0,1,G1,514.6610000000003,10.0129,-6.551732895481859,-6.3982671045181405,6.3982671045181405,Decachlorodiphenyl ether  ,ClC1=C(Cl)C(Cl)=C(OC2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,6.3982671045181405,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,23,23,1,False,12,False,False,True,False,False,False,False,True,True,1,False,1.0,False,True,True,True,False,False,True,True,514.6610000000003,10.0129,9.23,0,1,2,23,11,2,0,0,2,0.0,103.058,180.6347048238846,2.712767402893689,690.9545330792267,1,2
B-2402,UGQQAJOWXNCOPY-UHFFFAOYSA-N,-13.1719,0.0,1,G1,653.73,9.716199999999992,-6.830760899318627,-6.3411391006813735,6.3411391006813735,dechlorane plus,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C5(Cl)C(=C(Cl)C4(Cl)C5(Cl)Cl)Cl,6.3411391006813735,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,30,30,1,False,18,True,False,True,False,False,False,False,True,True,1,False,1.0,False,True,True,True,False,False,True,True,653.73,9.716199999999992,0.0,0,0,0,30,12,0,3,5,5,0.7777777777777778,133.10199999999992,234.17409986313731,1.6192923604968332,782.1276159467249,0,0
A-6108,INZDTEICWPZYJM-UHFFFAOYSA-N,-10.098913562,0.0,1,G1,251.156,4.831200000000004,-3.9004823554528034,-6.1984312065471965,6.1984312065471965,1-(chloromethyl)-4-[4-(chloromethyl)phenyl]benzene,ClCc1ccc(cc1)c2ccc(CCl)cc2,6.1984312065471965,2.8421709430404014e-14,8.881784197001252e-16,0.0,0.0,0.0,0.0,True,False,0,False,16,16,1,False,14,False,False,False,False,False,False,False,True,True,1,False,1.0,False,True,True,True,False,False,True,True,251.156,4.831200000000004,0.0,0,0,3,16,2,2,0,0,2,0.1428571428571428,70.99200000000003,105.82491400811756,2.2751241954898864,397.6664870484335,1,2
A-6060,JSBMGPVJAADXIZ-UHFFFAOYSA-N,-7.5649937324,0.6371146617127232,3,G4,367.2770000000001,-2.7986999999999984,-1.4055153283729214,-6.159478404027079,6.159478404027079,"5-[3-(2,4,6-trioxo-1,3-diazinan-5-ylidene)-2,3-dihydro-1H-isoindol-1-ylidene]-1,3-diazinane-2,4,6-trione",O=C1NC(=O)C(C(=O)N1)=C2NC(c3ccccc23)=C4C(=O)NC(=O)NC4=O,6.159478404027079,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,27,27,1,False,16,False,False,False,False,False,False,False,True,True,1,False,1.0,False,True,True,True,False,False,True,True,367.2770000000001,-2.7986999999999984,166.32999999999998,5,6,0,27,11,2,2,2,4,0.0,87.7275,148.01947795068713,2.136830231784024,1099.712172785407,2,1
B-4424,FOIBFBMSLDGNHL-UHFFFAOYSA-N,-12.0605,0.3647499999999999,2,G3,459.75400000000025,8.8118,-5.954433207901918,-6.106066792098082,6.106066792098082,"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",Clc1c(Cl)c(Cl)c2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2c1Cl,6.106066792098082,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,22,22,1,False,12,False,False,True,False,False,False,False,True,True,1,False,1.0,False,True,True,True,False,False,True,True,459.75400000000025,8.8118,18.46,0,2,0,22,10,2,0,1,3,0.0,93.11199999999998,164.1358864460989,2.32088843639644,697.8417983917849,2,1
A-5961,GLVDLLVMSDGVDA-UHFFFAOYSA-N,-9.2195295624,0.0,1,G1,371.34500000000014,2.3017000000000003,-3.301651214546175,-5.917878347853825,5.917878347853825,"2-[(1-amino-4-hydroxy-9,10-dioxo-9,10-dihydroanthracen-2-yl)oxy]ethyl ethyl carbonate",CCOC(=O)OCCOc1cc(O)c2C(=O)c3ccccc3C(=O)c2c1N,5.917878347853825,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,True,False,0,False,27,27,1,False,19,False,False,False,False,False,False,False,True,True,1,False,1.0,False,True,True,True,False,False,True,True,371.34500000000014,2.3017000000000003,125.15,2,8,5,27,8,2,0,1,3,0.2105263157894736,94.29520000000004,153.99658741066872,1.861691785705914,935.8956764732262,2,1
B-3124,WDMKCPIVJOGHBF-UHFFFAOYSA-N,-11.4817,0.0,1,G1,409.31000000000006,8.159799999999999,-5.5725172944751336,-5.9091827055248665,5.9091827055248665,"dibenzofuran, 1,2,3,4,6,7,8-heptachloro-",Clc1cc2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c23)c(Cl)c1Cl,5.9091827055248665,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,20,20,1,False,12,False,False,True,False,False,False,False,True,True,1,False,1.0,False,True,True,True,False,False,True,True,409.31000000000006,8.159799999999999,13.14,0,1,0,20,8,3,0,0,3,0.0,88.78999999999999,147.7119250352159,2.670847808177488,881.2503103410705,3,1
A-6058,ACUPDOXCXXCPIX-LUAWRHEFSA-N,-7.5280099033,0.0,1,G1,337.2950000000001,-1.8951199999999984,-1.6556247012619298,-5.87238520203807,5.87238520203807,"2-cyano-N-methyl-2-[(1E)-3-(2,4,6-trioxo-1,3-diazinan-5-ylidene)-2,3-dihydro-1H-isoindol-1-ylidene]acetamide",CNC(=O)/C(C#N)=C/1NC(c2ccccc12)=C3C(=O)NC(=O)NC3=O,5.87238520203807,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,True,False,0,False,25,25,1,False,16,False,False,False,False,False,False,False,True,True,1,False,1.0,False,True,True,True,False,False,True,True,337.2950000000001,-1.8951199999999984,143.95,4,5,1,25,9,2,1,1,3,0.0625,85.72580000000002,139.54498240198953,2.50892871385067,1097.5770809264,2,1
B-2832,WCLNVRQZUKYVAI-UHFFFAOYSA-N,-11.4795,0.1645308144053537,3,G5,425.3090000000002,8.1584,-5.616713773508119,-5.862786226491881,5.862786226491881,heptachlorodibenzo-p-dioxin,Clc1cc2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2c(Cl)c1Cl,5.862786226491881,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,21,21,1,False,12,False,False,True,False,False,False,False,True,True,1,False,1.0,False,True,True,True,False,False,True,True,425.3090000000002,8.1584,18.46,0,2,0,21,9,2,0,1,3,0.0,88.102,153.8326202192172,2.271270332623313,788.3961265209693,2,1
