ID,observed_solubility,mean_prediction,mean_residual,mean_absolute_error,median_absolute_error,prediction_count,mean_squared_error,prediction_sd,prediction_range,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3,recomputed_absolute_error,recomputed_residual,failure_mode,error_direction,solubility_region,failure_priority_score
A-5980,-9.0249738719,-2.269105694460059,-6.755868177439941,6.755868177439941,6.832914253966363,4,45.64175483094567,0.3837913468875095,0.8649862358501381,423.6760000000001,-0.917,3,0,0,1.0,6.755868177439941,-6.755868177439941,High-error + high-uncertainty,Overprediction,< -6,15.226771644505684
A-4449,-0.6984761493999999,-7.357775264440619,6.659299115040618,6.659299115040618,6.507224427936265,3,44.34626470358076,0.288427605589408,0.513207368702453,596.7710000000004,6.205800000000007,4,4,11,0.2903225806451613,6.659299115040619,6.659299115040619,High-error + high-uncertainty,Underprediction,-2 to < 0,13.970181349191328
A-5604,-6.566718008,-0.15381889168980378,-6.412899116310196,6.412899116310196,6.382676982811905,3,41.12527507597209,0.1982995323085101,0.3931293502087193,30.974,0.8612,0,0,0,0.0,6.412899116310196,-6.412899116310196,High-error + high-uncertainty,Overprediction,< -6,12.534805059304384
A-2714,-6.8304564998999995,-1.3193583723309539,-5.5110981275690465,5.5110981275690465,5.27902191847943,3,30.372202571695052,0.7867891291046472,1.5213712348512358,338.39700000000005,-1.3292999999999988,0,0,14,0.9333333333333332,5.511098127569046,-5.511098127569046,High-error + high-uncertainty,Overprediction,< -6,17.897076587602882
A-2622,-6.417202563200001,-1.0753990018830895,-5.341803561316912,5.341803561316912,5.42275313432426,3,28.53486528769804,0.407731363902464,0.803318716530891,522.6760000000004,1.9984000000000008,1,0,25,0.9615384615384616,5.341803561316912,-5.341803561316912,High-error + high-uncertainty,Overprediction,< -6,13.244985136006932
B-1512,-0.5932,-5.1934350403898515,4.600235040389852,4.600235040389852,4.584878520368285,3,21.162162426830623,0.2724146453607133,0.5441796467220126,218.3209999999999,4.749800000000005,0,0,9,1.0,4.600235040389851,4.600235040389851,High-error + high-uncertainty,Underprediction,-2 to < 0,10.496378537651214
B-2753,-0.5781,-4.961191816312575,4.383091816312575,4.383091816312575,4.386105950865641,3,19.21149387022627,0.3495062331342081,0.6989929706208367,378.531,4.906400000000003,0,0,17,0.8333333333333334,4.383091816312575,4.383091816312575,High-error + high-uncertainty,Underprediction,-2 to < 0,11.040697001015182
B-2814,-0.5781,-4.961191816312575,4.383091816312575,4.383091816312575,4.386105950865641,3,19.21149387022627,0.3495062331342081,0.6989929706208367,378.531,4.906400000000003,0,0,17,0.8333333333333334,4.383091816312575,4.383091816312575,High-error + high-uncertainty,Underprediction,-2 to < 0,11.040697001015182
B-2402,-13.1719,-8.789050311022926,-4.382849688977076,4.382849688977076,4.382849688977076,2,19.20937139616645,1.4075187678818049,1.9905321308331168,653.73,9.716199999999992,5,0,0,0.7777777777777778,4.382849688977075,-4.382849688977075,High-error + high-uncertainty,Overprediction,< -6,23.270347090272416
A-4204,-2.2334403365,-6.506348863944382,4.272908527444382,4.272908527444382,4.344683112616303,3,18.257747283906912,0.2510964974406031,0.4865624634905074,342.35000000000014,5.056400000000003,4,4,3,0.0,4.272908527444382,4.272908527444382,High-error + high-uncertainty,Underprediction,-4 to < -2,9.727152294127592
A-5964,-9.4071737246,-5.172607345827816,-4.2345663787721834,4.2345663787721834,4.305026027605159,3,17.931552416227763,0.1924070516647769,0.3649495962188886,384.8460000000002,4.828000000000005,0,0,8,1.0,4.2345663787721834,-4.2345663787721834,High-error + high-uncertainty,Overprediction,< -6,8.987495499683078
B-359,0.3783,-3.812726598472096,4.191026598472096,4.191026598472096,4.2811429703672665,4,17.564703949100586,0.2062149988410208,0.4354141147904196,209.252,2.5524000000000004,3,3,0,0.0,4.191026598472096,4.191026598472096,High-error + high-uncertainty,Underprediction,>= 0,9.077566702203383
A-5480,-4.4504277175,-8.601080622858518,4.150652905358519,4.150652905358519,4.150652905358519,2,17.227919540761114,0.5707069714333612,0.807101539141934,564.232,8.3178,8,8,0,0.0,4.150652905358518,4.150652905358518,High-error + high-uncertainty,Underprediction,-6 to < -4,13.226407132889648
A-5266,-1.0605299646,-5.19253615816506,4.13200619356506,4.13200619356506,4.090458765252085,5,17.073475183660012,0.2914438814567921,0.7207627232760814,310.38000000000005,4.915540000000004,2,2,4,0.1428571428571428,4.1320061935650605,4.1320061935650605,High-error + high-uncertainty,Underprediction,-2 to < 0,9.968498830829743
B-142,-3.4634,-7.538181180818313,4.074781180818313,4.074781180818313,4.074781180818313,2,16.603841671551084,0.4175305096405834,0.5904773094382634,406.907,6.609000000000001,2,2,2,0.0769230769230769,4.074781180818313,4.074781180818313,High-error + high-uncertainty,Underprediction,-4 to < -2,11.33459135728014
A-2335,-4.8251168095,-0.7788035614982066,-4.046313248001794,4.046313248001794,4.343893979752921,3,16.372650900954827,0.6706503854718717,1.238315340454793,296.156,-2.195199999999998,1,0,4,1.0,4.046313248001793,-4.046313248001793,High-error + high-uncertainty,Overprediction,-6 to < -4,14.215047931550128
