candidate_descriptor,baseline_descriptor,spearman_rho,p_value
rdkit_tpsa,rdkit_molwt,0.3913723792403581,0.0
rdkit_tpsa,rdkit_mollogp,-0.39790918957283794,0.0
rdkit_tpsa,rdkit_ring_count,0.2220774013489714,4.862194051064762e-97
rdkit_tpsa,rdkit_aromatic_rings,0.1824606932309775,1.3791532588476804e-65
rdkit_hbd,rdkit_molwt,0.09348857364192202,3.059112658647816e-18
rdkit_hbd,rdkit_mollogp,-0.40337509075983347,0.0
rdkit_hbd,rdkit_ring_count,0.08483297521022985,2.7927935171618847e-15
rdkit_hbd,rdkit_aromatic_rings,0.06673311649823918,5.296695427796719e-10
rdkit_hba,rdkit_molwt,0.5156617628309509,0.0
rdkit_hba,rdkit_mollogp,-0.2268308792181282,2.892624967824077e-101
rdkit_hba,rdkit_ring_count,0.2888865207838988,9.056599735716419e-166
rdkit_hba,rdkit_aromatic_rings,0.20889382266183285,7.834517525232132e-86
rdkit_rotatable_bonds,rdkit_molwt,0.48010863942822635,0.0
rdkit_rotatable_bonds,rdkit_mollogp,0.19224520674027173,9.711131007333107e-73
rdkit_rotatable_bonds,rdkit_ring_count,-0.12097502656389263,1.527992679295684e-29
rdkit_rotatable_bonds,rdkit_aromatic_rings,-0.027341566636293956,0.01102229821020679
rdkit_fraction_csp3,rdkit_molwt,-0.1461589570335558,1.7716529920293802e-42
rdkit_fraction_csp3,rdkit_mollogp,-0.12100056156402027,1.486842544190751e-29
rdkit_fraction_csp3,rdkit_ring_count,-0.46061363504974107,0.0
rdkit_fraction_csp3,rdkit_aromatic_rings,-0.7400601292955038,0.0
rdkit_bertz_ct,rdkit_molwt,0.8315225697615746,0.0
rdkit_bertz_ct,rdkit_mollogp,0.37982591871329047,1.0464187326870248e-294
rdkit_bertz_ct,rdkit_ring_count,0.8429473122927016,0.0
rdkit_bertz_ct,rdkit_aromatic_rings,0.7802895657861846,0.0
