ID,scaffold_key,split
A-5980,C1C[O][Sb]2[O]CC[O][Sb]([O]1)[O]CC[O]2,train
H-94,c1ccc(Oc2ccccc2)cc1,train
A-6108,c1ccc(-c2ccccc2)cc1,train
A-6060,O=C1NC(=O)C(=c2[nH]c(=C3C(=O)NC(=O)NC3=O)c3ccccc23)C(=O)N1,train
B-4424,c1ccc2c(c1)Oc1ccccc1O2,train
B-2832,c1ccc2c(c1)Oc1ccccc1O2,train
B-4428,c1ccc2c(c1)Oc1ccccc1O2,train
A-2317,O=C1C=Cc2ccccc2/C1=N/Nc1ccccc1,train
A-5817,O=c1[nH]c(=O)c2cc3c(=O)c4ccccc4c(=O)c3cc12,train
B-1423,ACYCLIC_B-1423,train
G-117,c1ccc(-c2ccccc2)cc1,train
A-5964,ACYCLIC_A-5964,train
A-5820,ACYCLIC_A-5820,train
A-2783,ACYCLIC_A-2783,train
A-5996,O=C1N=c2ccc(NNC3C(=O)NC(=O)NC3=O)cc2=N1,train
A-2714,ACYCLIC_A-2714,train
A-6072,c1ccc(-c2ccccc2)cc1,train
A-2282,O=c1cc(-c2ccccc2)oc2cc(O[C@H]3CCC[C@@H](CO[C@H]4CCCCO4)O3)ccc12,train
A-2607,N12[Si]34N5[Si]16N3[Si]25N46,train
A-2918,C1CCOCC1,train
A-5604,ACYCLIC_A-5604,train
C-1500,c1ccc(Oc2ccccc2)cc1,train
A-5786,ACYCLIC_A-5786,train
B-2388,O=C1c2ccccc2C(=O)c2c(Nc3cccc(Nc4ncncn4)c3)cccc21,train
A-2284,O=c1[nH]c(=O)c2cc3c(=O)c4ccccc4c(=O)c3cc12,train
A-4449,c1ccc(C(c2ccccc2)c2cccc3ccccc23)cc1,train
B-861,c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45,train
E-1036,c1ccc2cc3cc4ccccc4cc3cc2c1,train
B-4423,c1ccc2c(c1)Oc1ccccc1O2,train
A-5924,O=C(CN=Nc1ccccc1)Nc1ccccc1,train
A-5992,O=C1C=Cc2ccccc2/C1=N/Nc1ccccc1,train
B-4430,c1ccc2c(c1)Oc1ccccc1O2,train
A-5754,O=C1C=Cc2ccccc2/C1=N/Nc1ccccc1,train
B-4426,c1ccc2c(c1)Oc1ccccc1O2,train
H-517,c1ccc(Oc2ccccc2)cc1,train
A-5759,O=C(Nc1ccccc1)C1=Cc2ccccc2/C(=N/Nc2ccccc2)C1=O,train
A-5753,O=C1C=Cc2ccccc2/C1=N/Nc1ccccc1,train
A-5104,O=C(c1ccccc1)c1ccccc1,train
A-5750,O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)C1=Cc2ccccc2/C(=N/Nc2ccccc2)C1=O,train
B-2954,c1ccc(-c2ccccc2)cc1,train
B-4432,c1ccc2c(c1)Oc1ccccc1O2,train
A-5267,C1COCCN1,train
B-320,c1ccccc1,train
A-5603,O=C(CN=Nc1ccccc1)Nc1ccc2[nH]c(=O)[nH]c2c1,train
C-2427,c1ccc(Oc2ccccc2)cc1,train
C-1501,c1ccc(Oc2ccccc2)cc1,train
C-1499,c1ccc(Oc2ccccc2)cc1,train
A-5133,ACYCLIC_A-5133,train
C-2526,c1ccc(C(c2ccccc2)(c2ccccc2)n2ccnc2)cc1,train
H-453,c1ccc2c(c1)Oc1ccccc1O2,train
B-3564,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,train
A-5898,O=C(CN=Nc1ccccc1)Nc1ccc2[nH]c(=O)[nH]c2c1,train
