ID,observed_solubility,mean_prediction,mean_residual,mean_absolute_error,median_absolute_error,prediction_count,prediction_sd,prediction_range,failure_mode,error_direction,solubility_region,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3
A-10,-3.1231503040999997,-2.6755120280284754,-0.44763827607152445,0.44763827607152445,0.4686742622535949,3,0.0905089294074703,0.1773130764100297,Low-error + stable,Overprediction,-4 to < -2,118.179,2.638020000000001,1,1,1,0.1111111111111111
A-100,-4.952868802799999,-4.995292847611456,0.0424240448114559,0.0703503152340139,0.0703503152340139,2,0.099490369921165,0.1407006304680278,Low-error + stable,Underprediction,-6 to < -4,284.399,4.657380000000004,2,2,2,0.3684210526315789
A-1000,-3.8838494997,-4.131544426643689,0.24769492694368922,0.24769492694368922,0.2273038561910434,3,0.1669303883730027,0.3319873957699717,Low-error + high-uncertainty,Underprediction,-4 to < -2,256.3859999999999,3.850900000000003,1,0,0,0.9333333333333332
A-1002,-6.4511045339,-6.283407755631735,-0.1676967782682638,0.5050746624756627,0.3507414802331325,3,0.7352472701741859,1.3598986413490222,Low-error + high-uncertainty,Overprediction,< -6,282.556,7.903900000000008,0,0,16,1.0
A-1003,-3.5462434596,-0.5092343906590936,-3.037009068940906,3.037009068940906,3.0034774857156754,3,0.085443713469316,0.1607153118558856,High-error + stable,Overprediction,-4 to < -2,116.08,-0.4039999999999998,0,0,0,0.0
A-1004,-3.7960463334,-4.250071351321012,0.45402501792101263,0.45402501792101263,0.4420346320447774,3,0.1124746278126825,0.2239885254784779,Low-error + stable,Underprediction,-4 to < -2,206.32899999999995,3.987200000000003,1,1,0,0.5714285714285714
A-1005,-3.7917820608999997,-3.676432635672002,-0.11534942522799857,0.11534942522799857,0.1011934689197473,3,0.0267807962478227,0.0476200681820828,Low-error + stable,Overprediction,-4 to < -2,204.313,3.361600000000002,1,1,3,0.5
A-1006,-3.86580004,-3.5864715235010163,-0.27932851649898355,0.27932851649898355,0.240144966819614,3,0.1468503981410505,0.2857518259614684,Low-error + stable,Overprediction,-4 to < -2,242.278,2.529700000000001,2,2,3,0.0714285714285714
A-1007,-2.9287991689,0.18023220854975744,-3.109031377449757,3.109031377449757,3.068354100585225,3,0.0774720641551381,0.1379991316584632,High-error + stable,Overprediction,-4 to < -2,28.01,-0.03751,0,0,0,0.0
A-1009,-2.5105450102,-2.138988749456644,-0.3715562607433558,0.3715562607433558,0.4015779726213853,3,0.1898752804103768,0.3761736020661401,Low-error + high-uncertainty,Overprediction,-4 to < -2,106.596,2.4138,0,0,1,1.0
A-1011,-2.8204043469,-1.3351669870266347,-1.4852373598733655,1.4852373598733655,1.4866028393387274,3,0.0329202358263133,0.0657979794897181,High-error + stable,Overprediction,-4 to < -2,216.248,-0.31528,0,0,7,0.6
A-1013,-2.7764329492,-2.6196282831281725,-0.1568046660718276,0.1568046660718276,0.1854475007688076,3,0.0734576085143326,0.1382853754239552,Low-error + stable,Overprediction,-4 to < -2,194.23,2.573500000000001,1,1,2,0.3636363636363636
A-1014,-1.3147228436,-0.22983192560338903,-1.084890917996611,1.084890917996611,1.089333881940873,3,0.0708648035990618,0.141520534802213,Low-error + stable,Overprediction,-2 to < 0,66.05,1.2714,0,0,0,1.0
A-1015,-2.6942897822000003,-3.1500223740823974,0.4557325918823974,0.4557325918823974,0.3696524942007646,3,0.2647934990421607,0.5081663496231572,Low-error + high-uncertainty,Underprediction,-4 to < -2,158.28499999999997,2.973700000000002,0,0,5,1.0
A-1016,-2.7506819237,-2.6713275950247244,-0.0793543286752758,0.0793543286752758,0.0793543286752758,1,0.0,0.0,Low-error + stable,Overprediction,-4 to < -2,180.232,2.23409,2,2,1,0.125
A-1018,-2.6677709688000006,-1.4250238678119527,-1.2427471009880475,1.2427471009880475,1.2615635289048328,3,0.0813847024335456,0.1594732118010555,High-error + stable,Overprediction,-4 to < -2,148.909,1.9011,0,0,0,1.0
A-1021,-3.9191737976,-3.1992592038942647,-0.7199145937057354,0.7199145937057354,0.7199145937057354,2,0.2086168795918883,0.2950288204588034,Low-error + high-uncertainty,Overprediction,-4 to < -2,272.29999999999995,2.3950000000000005,4,2,6,0.375
A-1022,-3.7461507616999996,-2.857207927948275,-0.8889428337517254,0.8889428337517254,0.891882485498265,3,0.0138029475171915,0.0271322830494704,Low-error + stable,Overprediction,-4 to < -2,182.263,2.852100000000001,0,0,6,0.5454545454545454
A-1024,-3.8026769122999995,-4.088445312992613,0.2857684006926133,0.2857684006926133,0.3051353250387594,3,0.0616765045250039,0.1187043873064652,Low-error + stable,Underprediction,-4 to < -2,206.32899999999995,3.760100000000003,1,0,2,0.6428571428571429
A-1025,-3.0959725365,-1.8265520313535322,-1.269420505146468,1.269420505146468,1.269420505146468,2,0.0670566146376877,0.0948323738674441,High-error + stable,Overprediction,-4 to < -2,188.343,2.08,1,0,4,1.0
A-1027,-4.0635303796,-2.988254637187624,-1.0752757424123764,1.0752757424123764,1.0752757424123764,1,0.0,0.0,Low-error + stable,Overprediction,-6 to < -4,370.4080000000001,1.5148000000000006,2,2,4,0.0
A-1029,-0.8283051545000001,-1.9940581771619421,1.165753022661942,1.165753022661942,1.1887199209750006,3,0.0426690281058199,0.0754993283653164,High-error + stable,Underprediction,-2 to < 0,214.15700000000004,1.057,1,1,4,0.2222222222222222
A-1030,-2.8588087212,-3.8194997395941996,0.9606910183941995,0.9606910183941995,0.9606910183941995,2,0.0605795898857987,0.0856724776194965,Low-error + stable,Underprediction,-4 to < -2,230.332,3.1355000000000013,2,2,4,0.1428571428571428
A-1032,-2.7132509977,-1.8106556180226947,-0.9025953796773051,0.9025953796773051,0.8888397423349212,3,0.0744783369780127,0.1470388997509031,Low-error + stable,Overprediction,-4 to < -2,164.212,2.04296,0,0,2,0.75
A-1033,-2.6532064055,-1.4197934185790275,-1.2334129869209727,1.2334129869209727,1.231380905724205,3,0.0187755067870468,0.0373856999195012,High-error + stable,Overprediction,-4 to < -2,142.19799999999998,1.7617,0,0,4,0.625
A-1034,-2.7325883752,-3.634070558345975,0.9014821831459748,0.9014821831459748,0.8479971476769106,3,0.1279446748991886,0.2385317846385573,Low-error + stable,Underprediction,-4 to < -2,169.636,2.949700000000001,2,2,0,0.0
A-1038,-2.8026246384,-4.394053055556451,1.5914284171564508,1.5914284171564508,1.5453756057534767,4,0.1424231638539944,0.3231194005637903,High-error + stable,Underprediction,-4 to < -2,198.052,3.5416000000000007,2,2,0,0.0
A-1041,-1.7471686412,-1.0940112226396377,-0.6531574185603624,0.6531574185603624,0.6479527311467854,3,0.0775510857386117,0.1548399731456025,Low-error + stable,Overprediction,-2 to < 0,173.19299999999998,0.5155000000000001,1,1,1,0.0
A-1043,-2.8772524161000006,-3.028534046675015,0.15128163057501484,0.15128163057501484,0.1400785440270682,3,0.0700254849872304,0.1387002045643228,Low-error + stable,Underprediction,-4 to < -2,233.676,1.5724999999999998,1,1,2,0.125
A-1050,-3.8031812605,-3.315285368247898,-0.48789589225210217,0.48789589225210217,0.48789589225210217,2,0.2056743002940768,0.2908673849074801,Low-error + high-uncertainty,Overprediction,-4 to < -2,198.30599999999995,3.1544000000000016,1,0,2,0.9166666666666666
A-1051,-3.796856222,-1.6716018998270419,-2.1252543221729585,2.1252543221729585,2.145471129105428,3,0.0578630119652529,0.1103012002071137,High-error + stable,Overprediction,-4 to < -2,194.186,1.2597999999999998,1,1,2,0.2
A-1052,-3.7694416505999997,-4.038475839737149,0.269034189137149,0.269034189137149,0.2457610536848102,3,0.044603746765909,0.0795805277745795,Low-error + stable,Underprediction,-4 to < -2,182.307,3.716100000000002,1,0,6,0.9166666666666666
A-1053,-3.863274879700001,-3.6618256671354255,-0.2014492125645754,0.2014492125645754,0.2014492125645754,1,0.0,0.0,Low-error + stable,Overprediction,-4 to < -2,226.275,2.972500000000001,2,2,4,0.1333333333333333
A-1056,-2.8302990647,-2.115203994825256,-0.7150950698747437,0.7150950698747437,0.7552821665338101,3,0.0824834446650924,0.1495629177357211,Low-error + stable,Overprediction,-4 to < -2,208.377,1.4126,0,0,0,0.6666666666666666
A-1058,-2.7067344575,-2.7818018943149263,0.0750674368149261,0.08562898213975256,0.0506596047610226,3,0.1052579489208975,0.2062273416582352,Low-error + stable,Underprediction,-4 to < -2,156.26899999999998,2.7513000000000014,0,0,5,0.8
A-1059,-2.7010952437000006,-3.09281392309236,0.3917186793923599,0.3917186793923599,0.443576821133107,3,0.1386044940819592,0.2622537369122759,Low-error + stable,Underprediction,-4 to < -2,154.253,2.9579000000000013,0,0,4,0.7
A-106,-3.8230431676,-2.9788928835776196,-0.8441502840223806,0.8441502840223806,0.8473469592912126,3,0.14009195324511,0.2801291938691812,Low-error + stable,Overprediction,-4 to < -2,186.295,3.0119000000000016,0,0,4,0.9090909090909092
A-1060,-1.8195435039,-1.7878314550862238,-0.03171204881377623,0.0770231903836087,0.0679667123547487,3,0.097028666122593,0.1938201787089,Low-error + stable,Overprediction,-2 to < 0,201.247,1.13234,1,1,1,0.25
A-1062,-1.4450110492,-1.6491000195017538,0.20408897030175402,0.30982460423772734,0.363967355503499,3,0.3148336256302683,0.5655064572096831,Low-error + high-uncertainty,Underprediction,-2 to < 0,84.143,1.7481,1,1,0,0.0
A-1065,-2.8799222949,-4.095455174065192,1.2155328791651918,1.2155328791651918,1.2155328791651918,2,0.0323868994172273,0.0458019923990562,High-error + stable,Underprediction,-4 to < -2,228.291,3.423700000000002,2,2,2,0.2
A-1066,-0.691340871,-1.5589666798501554,0.8676258088501552,0.8676258088501552,0.8527875809634815,3,0.0440570853989191,0.0842827863501205,Low-error + stable,Underprediction,-2 to < 0,147.388,1.5555,0,0,0,0.5
A-1067,-0.4681010618999999,0.30188842456596293,-0.7699894864659629,0.7699894864659629,0.8009646768143759,3,0.1146086712796255,0.2228501803422286,Low-error + stable,Overprediction,-2 to < 0,88.14999999999999,1.0248,0,0,2,1.0
A-1068,-0.4681010618999999,0.30188842456596293,-0.7699894864659629,0.7699894864659629,0.8009646768143759,3,0.1146086712796255,0.2228501803422286,Low-error + stable,Overprediction,-2 to < 0,88.14999999999999,1.0248,0,0,2,1.0
A-1070,-1.6538265258000002,-2.7042237602666908,1.0503972344666908,1.0503972344666908,1.041941914774524,3,0.1043187780866975,0.2081229265427437,Low-error + stable,Underprediction,-2 to < 0,135.19099999999997,2.2963000000000005,2,2,0,0.0
A-1073,-1.7459071723,-1.7458978289644111,-9.343335588699967e-06,0.0600211393039631,0.0726939028505875,3,0.0827305087923544,0.1627115968031491,Low-error + stable,Overprediction,-2 to < 0,167.11999999999995,1.293,1,1,2,0.0
A-1076,-2.7354179060000003,-1.873870081320302,-0.8615478246796984,0.8615478246796984,0.8615478246796984,1,0.0,0.0,Low-error + stable,Overprediction,-4 to < -2,163.13199999999995,0.4813,2,2,0,0.0
A-1077,-2.8497223519,-3.434794843318636,0.5850724914186354,0.5850724914186354,0.643697847693276,3,0.1204004330461121,0.2183443608517969,Low-error + stable,Underprediction,-4 to < -2,212.248,2.602900000000001,2,2,3,0.0714285714285714
