ID,observed_solubility,mean_prediction,mean_residual,mean_absolute_error,prediction_sd,prediction_range,failure_mode,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3
A-2761,-7.3271074817,-9.160455019488614,1.8333475377886141,2.7344319656656317,2.9560046776274733,5.840437403003151,High-error + high-uncertainty,424.7540000000004,9.931799999999996,0,0,25,0.9642857142857144
A-2551,-5.6135997753,-8.44375906900697,2.8301592937069717,2.8301592937069717,2.6608435964668025,5.317306588967596,High-error + high-uncertainty,410.7710000000004,9.997099999999996,0,0,25,1.0
A-2658,-6.6281415672,-8.053615474726216,1.425473907526218,1.87596086714352,1.9208431045736492,3.7669028150440766,High-error + high-uncertainty,424.7580000000002,7.876200000000009,0,0,24,0.9629629629629628
B-2402,-13.1719,-8.789050311022926,-4.382849688977076,4.382849688977076,1.4075187678818049,1.9905321308331168,High-error + high-uncertainty,653.73,9.716199999999992,5,0,0,0.7777777777777778
A-5013,-4.3499005787,-7.619559646093283,3.269659067393283,3.269659067393283,1.5015062238649095,2.9271220056785623,High-error + high-uncertainty,514.7880000000006,10.609999999999992,0,0,26,0.9333333333333332
A-3068,-5.1490404299,-8.014511599463232,2.865471169563231,2.865471169563231,1.4233141528165822,2.778838661821231,High-error + high-uncertainty,422.8260000000003,11.08439999999999,0,0,21,1.0
A-212,-7.2523945018000004,-7.653934999567085,0.40154049776708517,1.3423088981676425,1.621986096354568,3.127018440033193,High-error + high-uncertainty,482.7900000000005,9.186800000000003,0,0,25,0.9333333333333332
A-6060,-7.5649937324000005,-4.2441886334396015,-3.3208050989603985,3.3208050989603985,1.216103579681944,2.122666214063318,High-error + high-uncertainty,367.2770000000001,-2.7986999999999984,4,2,0,0.0
B-2871,-3.6344,-7.038727941393238,3.404327941393238,3.404327941393238,1.1994949036958982,2.3868508441052416,High-error + high-uncertainty,430.907,5.725700000000003,0,0,12,1.0
A-1553,-4.3767049743,-6.399596247255857,2.022891272955857,2.022891272955857,1.2760086513930715,2.513968449125035,High-error + high-uncertainty,430.907,4.682900000000003,0,0,12,1.0
A-2714,-6.8304564998999995,-1.3193583723309539,-5.5110981275690465,5.5110981275690465,0.7867891291046472,1.5213712348512358,High-error + high-uncertainty,338.39700000000005,-1.3292999999999988,0,0,14,0.9333333333333332
B-4424,-12.0605,-9.98878443404161,-2.0717155659583883,2.0717155659583883,1.1644847819540602,2.487200867633936,High-error + high-uncertainty,459.75400000000025,8.8118,3,2,0,0.0
B-2857,-11.5827,-9.863077540354276,-1.7196224596457252,1.7196224596457252,1.111511737936978,2.181106631747012,High-error + high-uncertainty,443.7550000000001,8.813199999999998,3,3,0,0.0
