ID,SMILES,scaffold,Solubility,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3,repetition,seed,predicted_solubility,residual,absolute_error,squared_error,prediction_error_direction,train_size,test_size,test_scaffold_count,error_type
A-4449,CCN(CC)c1ccc(cc1)C(c2ccc(cc2)N(CC)CC)c3c4cc(ccc4ccc3[S](O)(=O)=O)[S](O)(=O)=O,c1ccc(C(c2ccccc2)c2cccc3ccccc23)cc1,-0.6984761494,596.7710000000004,6.205800000000007,4,4,11,0.2903225806451613,4,103,-7.690416292344022,6.9919401429440216,6.9919401429440216,48.88722696251207,underprediction,6914,1729,565,largest_underprediction
A-4449,CCN(CC)c1ccc(cc1)C(c2ccc(cc2)N(CC)CC)c3c4cc(ccc4ccc3[S](O)(=O)=O)[S](O)(=O)=O,c1ccc(C(c2ccccc2)c2cccc3ccccc23)cc1,-0.6984761494,596.7710000000004,6.205800000000007,4,4,11,0.2903225806451613,1,100,-7.205700577336265,6.507224427936265,6.507224427936265,42.34396975553045,underprediction,6912,1731,602,largest_underprediction
A-4449,CCN(CC)c1ccc(cc1)C(c2ccc(cc2)N(CC)CC)c3c4cc(ccc4ccc3[S](O)(=O)=O)[S](O)(=O)=O,c1ccc(C(c2ccccc2)c2cccc3ccccc23)cc1,-0.6984761494,596.7710000000004,6.205800000000007,4,4,11,0.2903225806451613,5,104,-7.177208923641569,6.478732774241569,6.478732774241569,41.97397836003185,underprediction,6912,1731,622,largest_underprediction
B-1492,CCO[P](=O)(OCC)O[P](=O)(OCC)O[P](=O)(OCC)O[P](=O)(OCC)OCC,,0.2956,506.2550000000003,5.687600000000006,0,0,18,1.0,9,108,-5.873886399364742,6.169486399364742,6.169486399364742,38.06256243194653,underprediction,4730,3913,630,largest_underprediction
B-1492,CCO[P](=O)(OCC)O[P](=O)(OCC)O[P](=O)(OCC)O[P](=O)(OCC)OCC,,0.2956,506.2550000000003,5.687600000000006,0,0,18,1.0,6,105,-5.691309259573507,5.986909259573507,5.986909259573507,35.843082482367,underprediction,5655,2988,308,largest_underprediction
B-1492,CCO[P](=O)(OCC)O[P](=O)(OCC)O[P](=O)(OCC)O[P](=O)(OCC)OCC,,0.2956,506.2550000000003,5.687600000000006,0,0,18,1.0,8,107,-5.636771248416888,5.932371248416889,5.932371248416889,35.193028629043354,underprediction,6239,2404,46,largest_underprediction
A-2551,CCCCCCCCCCCCCCC(CO)CCCCCCCCCCCC,,-5.6135997753,410.7710000000004,9.997099999999996,0,0,25,1.0,9,108,-11.040092477448848,5.426492702148848,5.426492702148848,29.446823046474705,underprediction,4730,3913,630,largest_underprediction
B-2388,Nc1c(cc(Nc2ccc(c(Nc3nc(Cl)nc(Cl)n3)c2)[S](O)(=O)=O)c4C(=O)c5ccccc5C(=O)c14)[S](O)(=O)=O,O=C1c2ccccc2C(=O)c2c(Nc3cccc(Nc4ncncn4)c3)cccc21,0.1956,637.4390000000003,3.5166000000000013,5,4,6,0.0,1,100,-5.185292689855088,5.380892689855088,5.380892689855088,28.954006139735924,underprediction,6912,1731,602,largest_underprediction
B-1512,CCCC[P](=O)(CCCC)CCCC,,-0.5932,218.3209999999999,4.749800000000005,0,0,9,1.0,6,105,-5.473203123761642,4.880003123761641,4.880003123761641,23.814430487923378,underprediction,5655,2988,308,largest_underprediction
A-4322,CCCCCCCCCc1ccc(OCCOCCO)cc1,c1ccccc1,-0.3045102393,308.462,4.367400000000004,1,1,14,0.6842105263157895,3,102,-5.1319366211116515,4.827426381811652,4.827426381811652,23.304045471811133,underprediction,6103,2540,323,largest_underprediction
