repetition,seed,model,n_train,n_test,n_train_scaffolds,n_test_scaffolds,r_squared,rmse,mae,mean_error
1,100,M0_baseline,6912,1731,1065,602,0.6368761504236831,1.4282184048123752,1.0888985752706628,-0.2882055809180091
1,100,M4_linear_structural,6912,1731,1065,602,0.6737421300100972,1.3537788868365312,1.0255871710005189,-0.12723632052974368
1,100,RF_random_forest,6912,1731,1065,602,0.7432180954777634,1.201017806121048,0.8853121904065351,-0.03675237248197209
1,100,GB_gradient_boosting,6912,1731,1065,602,0.7546577035686055,1.1739604104560133,0.8768547279067328,-0.04935363298812833
2,101,M0_baseline,6813,1830,1145,522,0.6468248081485881,1.3522902957714313,1.038996681641048,-0.13580202153248142
2,101,M4_linear_structural,6813,1830,1145,522,0.6662770164920722,1.314522110414191,1.0187413710021755,-0.03318284447127016
2,101,RF_random_forest,6813,1830,1145,522,0.7489577259674525,1.140113968829501,0.8551084172783145,-0.006613084784630092
2,101,GB_gradient_boosting,6813,1830,1145,522,0.733022067658393,1.1757433180175278,0.9023334338089569,0.015402734463157448
3,102,M0_baseline,6103,2540,1344,323,0.7100496126626974,1.056472285292972,0.7890049559640906,-0.012068662014521588
3,102,M4_linear_structural,6103,2540,1344,323,0.6959495445190871,1.0818550860249367,0.8105576156908922,0.2266455468371659
3,102,RF_random_forest,6103,2540,1344,323,0.7315752383257742,1.0165003910517163,0.7679072186084233,-0.10842830608548976
3,102,GB_gradient_boosting,6103,2540,1344,323,0.754846485173076,0.9714385282937864,0.7248507760766946,-0.04239009480065115
4,103,M0_baseline,6914,1729,1102,565,0.6336360713909469,1.3405314613885193,1.0322681297098675,-0.19899987783492967
4,103,M4_linear_structural,6914,1729,1102,565,0.6648482521089545,1.2821575725004128,0.9776843258148192,-0.015018564983335203
4,103,RF_random_forest,6914,1729,1102,565,0.744466960615592,1.1195517873722065,0.8408246270861441,-0.035833069021497826
4,103,GB_gradient_boosting,6914,1729,1102,565,0.7399408310870417,1.1294232987107662,0.8575972621390197,-0.01878420639081312
5,104,M0_baseline,6912,1731,1045,622,0.6389194075500952,1.396024952847872,1.0696846146562276,-0.36082970491043453
5,104,M4_linear_structural,6912,1731,1045,622,0.6836234304201783,1.3067522730900953,0.9868045498430522,-0.16190048860823597
5,104,RF_random_forest,6912,1731,1045,622,0.7615007754862002,1.134578614814896,0.8384796424884161,-0.07021282462882215
5,104,GB_gradient_boosting,6912,1731,1045,622,0.7548286364455239,1.1503393579084964,0.8477759575449925,-0.05975686463914016
6,105,M0_baseline,5655,2988,1359,308,0.617768271171182,1.3958656508876068,1.0781737920431569,0.3929264444746336
6,105,M4_linear_structural,5655,2988,1359,308,0.6580551924725067,1.3202563338172442,0.9962248596659284,-0.039191700301504276
6,105,RF_random_forest,5655,2988,1359,308,0.7308668944288615,1.1712883250109853,0.8290332291521088,0.005056079743724677
6,105,GB_gradient_boosting,5655,2988,1359,308,0.7362625690535523,1.1594876807085264,0.8375156216232189,0.007624767317031649
7,106,M0_baseline,6769,1874,1562,105,0.6048391470219692,1.0060617064604669,0.7417087300467021,0.07978752472708237
7,106,M4_linear_structural,6769,1874,1562,105,0.5546249019446987,1.068072239147976,0.8016551410225641,0.32340511778102876
7,106,RF_random_forest,6769,1874,1562,105,0.6435656361524209,0.9554928589028123,0.721077428423022,-0.023403741694164825
7,106,GB_gradient_boosting,6769,1874,1562,105,0.6546047373736968,0.9405802385120265,0.7002782716917062,0.03216314741124022
8,107,M0_baseline,6239,2404,1621,46,0.605261308246344,1.3837949636995264,1.09056510668818,0.5026978353806173
8,107,M4_linear_structural,6239,2404,1621,46,0.6523233369568465,1.2986875205260136,0.9880486995647183,-0.0650963394394472
8,107,RF_random_forest,6239,2404,1621,46,0.7197032212495766,1.166073565951264,0.8303965717357187,0.0030970751916803052
8,107,GB_gradient_boosting,6239,2404,1621,46,0.735852193572831,1.1319842940789984,0.8195940560564433,-0.005448986547735588
9,108,M0_baseline,4730,3913,1037,630,0.6639508541721602,1.4004071754617657,1.0983717895430671,0.34878088326494794
9,108,M4_linear_structural,4730,3913,1037,630,0.699671127588782,1.3238886906063925,1.0153066017438592,-0.0025854643731605975
9,108,RF_random_forest,4730,3913,1037,630,0.7612997352195657,1.1802645956555606,0.8604995201327927,0.09735392756626622
9,108,GB_gradient_boosting,4730,3913,1037,630,0.7683852398983919,1.162615330956668,0.8625636368562821,0.08107328902072909
10,109,M0_baseline,6511,2132,1504,163,0.7070696579692215,1.0305440714212621,0.7762669353940215,0.034872252883404266
10,109,M4_linear_structural,6511,2132,1504,163,0.6828901671922317,1.0722331848133648,0.8131537345809559,0.2893807951964026
10,109,RF_random_forest,6511,2132,1504,163,0.7201615986880363,1.0072517842892315,0.7539367766114996,-0.024296753920297943
10,109,GB_gradient_boosting,6511,2132,1504,163,0.7433557569635636,0.9646064314645286,0.7177079539503837,0.04144204733234152
