ID,SMILES,scaffold,Solubility,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3,repetition,seed,predicted_solubility,residual,absolute_error,squared_error,prediction_error_direction,train_size,test_size,test_scaffold_count,observed_solubility_region,predicted_solubility_region
H-94,ClC1=C(Cl)C(Cl)=C(OC2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,c1ccc(Oc2ccccc2)cc1,-12.95,514.6610000000003,10.0129,2,2,2,0.0,1,100,-9.513094532840908,-3.4369054671590913,3.4369054671590913,11.81231919018805,overprediction,6912,1731,602,< -6,< -6
B-4424,Clc1c(Cl)c(Cl)c2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2c1Cl,c1ccc2c(c1)Oc1ccccc1O2,-12.0605,459.75400000000025,8.8118,3,2,0,0.0,1,100,-10.754146514398057,-1.3063534856019423,1.3063534856019423,1.706559429344344,overprediction,6912,1731,602,< -6,< -6
A-5961,CCOC(=O)OCCOc1cc(O)c2C(=O)c3ccccc3C(=O)c2c1N,O=C1c2ccccc2C(=O)c2ccccc21,-9.2195295624,371.34500000000014,2.3017000000000003,3,2,5,0.2105263157894736,1,100,-3.836220528175749,-5.383309034224251,5.383309034224251,28.980016157960435,overprediction,6912,1731,602,< -6,-4 to < -2
B-3124,Clc1cc2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c23)c(Cl)c1Cl,c1ccc2c(c1)oc1ccccc12,-11.4817,409.31000000000006,8.159799999999999,3,3,0,0.0,1,100,-9.464521872848287,-2.0171781271517126,2.0171781271517126,4.069007596659291,overprediction,6912,1731,602,< -6,< -6
A-6058,CNC(=O)/C(C#N)=C/1NC(c2ccccc12)=C3C(=O)NC(=O)NC3=O,C=c1[nH]c(=C2C(=O)NC(=O)NC2=O)c2ccccc12,-7.5280099033,337.2950000000001,-1.8951199999999984,3,2,1,0.0625,1,100,-3.618655214647273,-3.9093546886527273,3.9093546886527273,15.283054081691063,overprediction,6912,1731,602,< -6,-4 to < -2
B-2832,Clc1cc2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2c(Cl)c1Cl,c1ccc2c(c1)Oc1ccccc1O2,-11.4795,425.3090000000002,8.1584,3,2,0,0.0,1,100,-10.332459173484349,-1.147040826515651,1.147040826515651,1.315702657693708,overprediction,6912,1731,602,< -6,< -6
B-2857,Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c23)c1Cl,c1ccc2c(c1)oc1ccccc12,-11.5827,443.7550000000001,8.813199999999998,3,3,0,0.0,1,100,-10.829598859268687,-0.7531011407313137,0.7531011407313137,0.567161328170806,overprediction,6912,1731,602,< -6,< -6
B-4428,Clc1cc2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2cc1Cl,c1ccc2c(c1)Oc1ccccc1O2,-10.9486,390.86400000000015,7.505000000000001,3,2,0,0.0,1,100,-9.613468224946363,-1.3351317750536378,1.3351317750536378,1.7825768567578777,overprediction,6912,1731,602,< -6,< -6
H-245,ClC1=C(Cl)C=C2C(=C1)OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C21,c1ccc2c(c1)oc1ccccc12,-10.66,374.86500000000007,7.5064,3,3,0,0.0,1,100,-9.450918840330694,-1.2090811596693065,1.2090811596693065,1.461877250667275,overprediction,6912,1731,602,< -6,< -6
C-2439,ClC1=CC2=C(C(=C1Cl)Cl)C3=C(O2)C(=C(Cl)C(=C3)Cl)Cl,c1ccc2c(c1)oc1ccccc12,-10.3,374.865,7.5064,3,3,0,0.0,1,100,-9.450918840330694,-0.8490811596693071,0.8490811596693071,0.7209388157053753,overprediction,6912,1731,602,< -6,< -6
A-6085,Oc1ccc(Nc2ccccc2)c3C(=O)c4c(c(O)ccc4[N+]([O-])=O)C(=O)c13,O=C1c2ccccc2C(=O)c2c(Nc3ccccc3)cccc21,-8.6461429905,376.3240000000001,3.525000000000001,4,3,3,0.0,1,100,-4.938895532690516,-3.7072474578094834,3.7072474578094834,13.743683713434878,overprediction,6912,1731,602,< -6,-6 to < -4
A-2282,COc1ccc(cc1O)C2=CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2,O=c1cc(-c2ccccc2)oc2cc(OC3CCCC(COC4CCCCO4)O3)ccc12,-7.505541952200001,608.5490000000003,-1.0897000000000006,5,3,7,0.4642857142857143,1,100,-3.299193026915596,-4.206348925284405,4.206348925284405,17.69337128124127,overprediction,6912,1731,602,< -6,-4 to < -2
C-1500,ClC1=C(Cl)C(=C(OC2=C(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl)C=C1)Cl,c1ccc(Oc2ccccc2)cc1,-10.6,445.771,8.7061,2,2,2,0.0,1,100,-8.42832374629579,-2.1716762537042094,2.1716762537042094,4.71617775090275,overprediction,6912,1731,602,< -6,< -6
