repetition,seed,n_train,n_test,n_test_scaffolds,r_squared,rmse,mae,mean_error,median_error,residual_sd,mean_absolute_error,median_absolute_error,underprediction_fraction,overprediction_fraction
1,100,6912,1731,602,0.7598127826127469,1.161561432947869,0.8652011140105509,-0.03490610162076958,-0.07806567646798435,1.1613723438697783,0.8652011140105509,0.6596638902983019,0.4662045060658579,0.5337954939341422
2,101,6813,1830,522,0.7368463558898249,1.167292058376266,0.8897377352049539,0.009726686521299798,0.0014759332600672304,1.1675705848746052,0.8897377352049539,0.7090167438553721,0.5010928961748634,0.4989071038251366
3,102,6103,2540,323,0.7502785452792625,0.9804471536525088,0.7310333409795712,-0.007216195518669332,-0.040023419352056555,0.980613650495238,0.7310333409795712,0.5526688203752796,0.4811023622047244,0.5188976377952756
4,103,6914,1729,565,0.7384253241239203,1.1327094017192738,0.8588457840641587,-0.027620115558179413,-0.0802629772484762,1.1327002123409842,0.8588457840641587,0.6793384690565443,0.45980335454019666,0.5401966454598034
5,104,6912,1731,622,0.7593879844559458,1.1395929750449754,0.8411592611238289,-0.04827084286763224,-0.06221303259223854,1.1388992076472828,0.8411592611238289,0.6353345814134408,0.4690930098209128,0.5309069901790873
6,105,5655,2988,308,0.732609183618128,1.1674908797336248,0.8380711489682151,-0.016777458748325657,-0.02164133075917818,1.1675657151890075,0.8380711489682151,0.6213525602469474,0.4866131191432396,0.5133868808567604
7,106,6769,1874,105,0.6515420857248182,0.9447411409539037,0.7049598159232201,0.06281101265341275,0.017312215785423746,0.9429024451851642,0.7049598159232201,0.5274352006082633,0.5101387406616862,0.48986125933831376
8,107,6239,2404,46,0.7284402894383867,1.1477559834595203,0.825434754797762,-0.028174912494525296,-0.022465439594196807,1.1476488354519798,0.825434754797762,0.6199056658782829,0.4937603993344426,0.5062396006655574
9,108,4730,3913,630,0.7610728662141407,1.180825344639282,0.8702439204391147,0.07718424015612983,0.041626814959778435,1.178450674958966,0.8702439204391147,0.6518869830481129,0.5182724252491694,0.48172757475083056
10,109,6511,2132,163,0.7409842143462138,0.9690529462371746,0.7198211041459569,0.029790482903163714,-0.048345051017186,0.968822167030681,0.7198211041459569,0.5441183896645432,0.47607879924953095,0.523921200750469
