repetition,seed,model,n_train,n_test,n_train_scaffolds,n_test_scaffolds,r_squared,rmse,mae,mean_error
1,100,M0_baseline,6912,1731,1065,602,0.6368761504236831,1.4282184048123752,1.0888985752706628,-0.2882055809180091
1,100,M3_ring_model,6912,1731,1065,602,0.6603870739846125,1.3812088239448044,1.050350024520758,-0.12801670551681443
1,100,M4_selective_model,6912,1731,1065,602,0.6737421300100972,1.3537788868365312,1.0255871710005189,-0.12723632052974368
2,101,M0_baseline,6813,1830,1145,522,0.6468248081485881,1.3522902957714313,1.038996681641048,-0.13580202153248142
2,101,M3_ring_model,6813,1830,1145,522,0.6532343841656192,1.3399631356657777,1.036600812311285,-0.012077742068319903
2,101,M4_selective_model,6813,1830,1145,522,0.6662770164920722,1.314522110414191,1.0187413710021755,-0.03318284447127016
3,102,M0_baseline,6103,2540,1344,323,0.7100496126626974,1.056472285292972,0.7890049559640906,-0.012068662014521588
3,102,M3_ring_model,6103,2540,1344,323,0.7092159289746377,1.0579900130685438,0.7906834177281519,0.028178590616820473
3,102,M4_selective_model,6103,2540,1344,323,0.6959495445190871,1.0818550860249367,0.8105576156908922,0.2266455468371659
4,103,M0_baseline,6914,1729,1102,565,0.6336360713909469,1.3405314613885193,1.0322681297098675,-0.19899987783492967
4,103,M3_ring_model,6914,1729,1102,565,0.643923390700688,1.321576721263069,1.0134864760448845,-0.021148740033857864
4,103,M4_selective_model,6914,1729,1102,565,0.6648482521089545,1.2821575725004128,0.9776843258148192,-0.015018564983335203
5,104,M0_baseline,6912,1731,1045,622,0.6389194075500952,1.396024952847872,1.0696846146562276,-0.36082970491043453
5,104,M3_ring_model,6912,1731,1045,622,0.6658378368306761,1.3429806171350311,1.014033051135009,-0.16048182137236058
5,104,M4_selective_model,6912,1731,1045,622,0.6836234304201783,1.3067522730900953,0.9868045498430522,-0.16190048860823597
6,105,M0_baseline,5655,2988,1359,308,0.617768271171182,1.3958656508876068,1.0781737920431569,0.3929264444746336
6,105,M3_ring_model,5655,2988,1359,308,0.6541454689243524,1.3277826452036037,1.0126646937913044,0.22096521964055016
6,105,M4_selective_model,5655,2988,1359,308,0.6580551924725067,1.3202563338172442,0.9962248596659284,-0.039191700301504276
7,106,M0_baseline,6769,1874,1562,105,0.6048391470219692,1.0060617064604669,0.7417087300467021,0.07978752472708237
7,106,M3_ring_model,6769,1874,1562,105,0.60548886280999,1.00523429267193,0.7482881816974399,0.09273703830715174
7,106,M4_selective_model,6769,1874,1562,105,0.5546249019446987,1.068072239147976,0.8016551410225641,0.32340511778102876
8,107,M0_baseline,6239,2404,1621,46,0.605261308246344,1.3837949636995264,1.09056510668818,0.5026978353806173
8,107,M3_ring_model,6239,2404,1621,46,0.6501862197916872,1.3026728259529394,1.0099066173695928,0.2747434570306171
8,107,M4_selective_model,6239,2404,1621,46,0.6523233369568465,1.2986875205260136,0.9880486995647183,-0.0650963394394472
9,108,M0_baseline,4730,3913,1037,630,0.6639508541721602,1.4004071754617657,1.0983717895430671,0.34878088326494794
9,108,M3_ring_model,4730,3913,1037,630,0.690735562121112,1.343438905781032,1.0412971338840564,0.1912912088612966
9,108,M4_selective_model,4730,3913,1037,630,0.699671127588782,1.3238886906063925,1.0153066017438592,-0.0025854643731605975
10,109,M0_baseline,6511,2132,1504,163,0.7070696579692215,1.0305440714212621,0.7762669353940215,0.034872252883404266
10,109,M3_ring_model,6511,2132,1504,163,0.7050380817746653,1.0341114917619223,0.7836882449189934,0.05638492155519735
10,109,M4_selective_model,6511,2132,1504,163,0.6828901671922317,1.0722331848133648,0.8131537345809559,0.2893807951964026
