repetition,seed,feature,mean_absolute_shap,mean_signed_shap,mean_shap_rank,n_test,n_test_scaffolds
1,100,rdkit_molwt,0.30870266051903433,-0.1783374486719326,2,1731,602
1,100,rdkit_mollogp,1.5101727174601713,-0.41320085133518,1,1731,602
1,100,rdkit_ring_count,0.24942791213586535,-0.2157856219705896,3,1731,602
1,100,rdkit_aromatic_rings,0.04868080306104203,-0.01933819112811586,6,1731,602
1,100,rdkit_rotatable_bonds,0.07342012611313554,-0.034948694522992964,5,1731,602
1,100,rdkit_fraction_csp3,0.1893045305498227,-0.05359785602833669,4,1731,602
2,101,rdkit_molwt,0.28723668679783637,-0.15190176954486015,2,1830,522
2,101,rdkit_mollogp,1.3597237974077165,-0.06176299359862797,1,1830,522
2,101,rdkit_ring_count,0.20135085994192922,-0.1264803584596783,3,1830,522
2,101,rdkit_aromatic_rings,0.09625332073400504,-0.04025406240805969,5,1830,522
2,101,rdkit_rotatable_bonds,0.04907939896138807,-0.02017576380497031,6,1830,522
2,101,rdkit_fraction_csp3,0.1801052906586789,-0.0027374612207178095,4,1830,522
3,102,rdkit_molwt,0.2996231203266692,-0.029195408470804277,2,2540,323
3,102,rdkit_mollogp,1.2728869565796554,-0.0001225018305177298,1,2540,323
3,102,rdkit_ring_count,0.13595205556627754,0.028893972327951378,4,2540,323
3,102,rdkit_aromatic_rings,0.028801158995964096,0.02233633349229087,6,2540,323
3,102,rdkit_rotatable_bonds,0.07403418425322958,-0.010885940338577814,5,2540,323
3,102,rdkit_fraction_csp3,0.23977937268289595,-0.15188716386872236,3,2540,323
4,103,rdkit_molwt,0.34316857992163274,-0.24182053801210066,2,1729,565
4,103,rdkit_mollogp,1.402808878183325,-0.331357518411685,1,1729,565
4,103,rdkit_ring_count,0.18741423867251958,-0.15192390682568152,4,1729,565
4,103,rdkit_aromatic_rings,0.07533243395636535,-0.025971397785243593,5,1729,565
4,103,rdkit_rotatable_bonds,0.04673238627133138,-6.917216340070323e-05,6,1729,565
4,103,rdkit_fraction_csp3,0.19540449750081046,-0.08698393032144938,3,1729,565
5,104,rdkit_molwt,0.33867474576257944,-0.24386054939218707,2,1731,622
5,104,rdkit_mollogp,1.4734617722920476,-0.4784387497670538,1,1731,622
5,104,rdkit_ring_count,0.143260876857998,-0.12572696477384476,4,1731,622
5,104,rdkit_aromatic_rings,0.09802272222165422,-0.08542757840296318,5,1731,622
5,104,rdkit_rotatable_bonds,0.05833401038479834,-0.02967028219494631,6,1731,622
5,104,rdkit_fraction_csp3,0.17899030593146598,-0.06128651936391013,3,1731,622
6,105,rdkit_molwt,0.5134864023857423,0.33104399263796125,2,2988,308
6,105,rdkit_mollogp,1.5019836234331738,0.5496272878395585,1,2988,308
6,105,rdkit_ring_count,0.053937723476542375,0.026496219933727822,6,2988,308
6,105,rdkit_aromatic_rings,0.0604518404504658,0.008170339731710066,5,2988,308
6,105,rdkit_rotatable_bonds,0.1365286143885331,0.07172915764248951,4,2988,308
6,105,rdkit_fraction_csp3,0.23821647879352262,0.1935425662743691,3,2988,308
7,106,rdkit_molwt,0.2847749369906376,0.022619488369201482,2,1874,105
7,106,rdkit_mollogp,1.1111584139541884,0.3319792174111048,1,1874,105
7,106,rdkit_ring_count,0.07910362497027544,0.03897092814788156,4,1874,105
7,106,rdkit_aromatic_rings,0.022993100984437555,-0.015297599769510988,6,1874,105
7,106,rdkit_rotatable_bonds,0.055579402178110075,-0.0035044802549328547,5,1874,105
7,106,rdkit_fraction_csp3,0.19581278974934177,-0.13300700481373215,3,1874,105
8,107,rdkit_molwt,0.5942241040264025,0.4579801277770553,2,2404,46
8,107,rdkit_mollogp,1.5030888403998295,0.5995006351688765,1,2404,46
8,107,rdkit_ring_count,0.08788750671143651,0.07811233721167227,5,2404,46
8,107,rdkit_aromatic_rings,0.07009573356783451,-0.055136098577874104,6,2404,46
8,107,rdkit_rotatable_bonds,0.13582369758922175,0.0863994043384478,4,2404,46
8,107,rdkit_fraction_csp3,0.3211641813552328,0.26799399099787036,3,2404,46
9,108,rdkit_molwt,0.4459010597789145,0.20739254379734223,2,3913,630
9,108,rdkit_mollogp,1.4468093474569907,0.22088329307773236,1,3913,630
9,108,rdkit_ring_count,0.1453519074185916,0.0256518794547707,4,3913,630
9,108,rdkit_aromatic_rings,0.02231474343077539,-0.0029064055029355313,6,3913,630
9,108,rdkit_rotatable_bonds,0.09806019105984541,0.0503851236324326,5,3913,630
9,108,rdkit_fraction_csp3,0.22835960976470238,0.13346923357550766,3,3913,630
10,109,rdkit_molwt,0.2937291559346633,-0.008241241821270008,2,2132,163
10,109,rdkit_mollogp,1.2001618814785733,0.06502943219328676,1,2132,163
10,109,rdkit_ring_count,0.1459304276411458,0.08724244671674063,4,2132,163
10,109,rdkit_aromatic_rings,0.036770869432781905,-0.025494211416062274,6,2132,163
10,109,rdkit_rotatable_bonds,0.06688330217984104,0.00674864162653023,5,2132,163
10,109,rdkit_fraction_csp3,0.218655320671078,-0.15635912063402815,3,2132,163
