repetition,seed,ID,scaffold,observed_solubility,predicted_solubility,rdkit_molwt_value,rdkit_molwt_shap,rdkit_mollogp_value,rdkit_mollogp_shap,rdkit_ring_count_value,rdkit_ring_count_shap,rdkit_aromatic_rings_value,rdkit_aromatic_rings_shap,rdkit_rotatable_bonds_value,rdkit_rotatable_bonds_shap,rdkit_fraction_csp3_value,rdkit_fraction_csp3_shap
1,100,H-94,c1ccc(Oc2ccccc2)cc1,-12.95,-9.513094532840908,514.6610000000003,-0.4893937055199109,10.0129,-5.66890087129181,2,-0.21347834096192783,2,-0.016269238412074484,2,-0.02959412733751431,0.0,-0.303181618842956
1,100,B-4424,c1ccc2c(c1)Oc1ccccc1O2,-12.0605,-10.754146514398057,459.75400000000025,-0.6135520677757526,8.8118,-5.537668154117378,3,-0.2599013767263827,2,-0.05470464537857441,0,-1.1793118904787747,0.0,-0.3167317494464849
1,100,A-5961,O=C1c2ccccc2C(=O)c2ccccc21,-9.2195295624,-3.836220528175749,371.34500000000014,-0.6465513924431661,2.3017000000000003,0.10733832652901791,3,-0.40346530410771525,2,0.026225684655082335,5,0.05064711245857882,0.2105263157894736,-0.17813832479283634
1,100,B-3124,c1ccc2c(c1)oc1ccccc12,-11.4817,-9.464521872848287,409.31000000000006,-0.14448588072640556,8.159799999999999,-4.955958948644316,3,-0.21676644041672724,3,-0.027648883980320605,0,-1.0752737360841778,0.0,-0.25211135252163347
1,100,A-6058,C=c1[nH]c(=C2C(=O)NC(=O)NC2=O)c2ccccc12,-7.5280099033,-3.618655214647273,337.2950000000001,-0.740410196021895,-1.8951199999999984,1.1867368930111148,3,-0.5479744860161188,2,-0.09684491269177627,1,-0.05816078709853949,0.0625,-0.5697250953553454
1,100,B-2832,c1ccc2c(c1)Oc1ccccc1O2,-11.4795,-10.332459173484349,425.3090000000002,-0.8352337059273117,8.1584,-5.004802258598385,3,-0.2256735380199506,2,-0.06339320618656775,0,-1.1522493086489127,0.0,-0.2588305256285105
1,100,B-2857,c1ccc2c(c1)oc1ccccc12,-11.5827,-10.829598859268687,443.7550000000001,-0.7259258095794571,8.813199999999998,-5.4864938737516145,3,-0.2599013767263827,3,-0.017016069225528715,0,-1.2312533500645095,0.0,-0.3167317494464849
1,100,B-4428,c1ccc2c(c1)Oc1ccccc1O2,-10.9486,-9.613468224946363,390.86400000000015,-0.4500554373969525,7.505000000000001,-4.8564389736527644,3,-0.21037894021888195,2,-0.04638422278992874,0,-0.946847278353145,0.0,-0.31108674205998
1,100,H-245,c1ccc2c(c1)oc1ccccc12,-10.66,-9.450918840330694,374.86500000000007,-0.3620768786803633,7.5064,-4.800176634652439,3,-0.21037894021888195,3,-0.057515515402633555,0,-0.9127521770688338,0.0,-0.31574206383283165
1,100,C-2439,c1ccc2c(c1)oc1ccccc12,-10.3,-9.450918840330694,374.865,-0.3620768786803633,7.5064,-4.800176634652439,3,-0.21037894021888195,3,-0.057515515402633555,0,-0.9127521770688338,0.0,-0.31574206383283165
1,100,A-6085,O=C1c2ccccc2C(=O)c2c(Nc3ccccc3)cccc21,-8.6461429905,-4.938895532690516,376.3240000000001,-0.3472001571448157,3.525000000000001,-1.0148599970468053,4,-0.4814791541011493,3,-0.0008507429754069964,3,-0.04860146935421178,0.0,-0.25362738159342285
1,100,A-2282,O=c1cc(-c2ccccc2)oc2cc(OC3CCCC(COC4CCCCO4)O3)ccc12,-7.505541952200001,-3.299193026915596,608.5490000000003,-1.057034068780066,-1.0897000000000006,1.2355149384840782,5,-0.9506296910165895,3,-0.08129671284140509,7,0.1454409385923711,0.4642857142857143,0.20108819912072462
1,100,C-1500,c1ccc(Oc2ccccc2)cc1,-10.6,-8.42832374629579,445.771,-0.47102219240181775,8.7061,-4.672440652112475,2,-0.21347834096192783,2,-0.022853080285039226,2,0.05144159125801912,0.0,-0.30769444131783946
1,100,B-2388,O=C1c2ccccc2C(=O)c2c(Nc3cccc(Nc4ncncn4)c3)cccc21,0.1956,-5.185292689855088,637.4390000000003,-0.6329226133189072,3.5166000000000013,-0.7444132062069778,5,-0.4962277417150465,4,-0.1975267718664437,6,-0.10254121501967928,0.0,-0.21938451125332264
1,100,A-4449,c1ccc(C(c2ccccc2)c2cccc3ccccc23)cc1,-0.6984761494,-7.205700577336265,596.7710000000004,-0.40791549283275036,6.205800000000007,-3.197583166292563,4,-0.3925713455190231,4,-0.23709601460774218,11,-0.07307770424234693,0.2903225806451613,-0.10518022336713177
1,100,B-861,c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45,-9.1627,-7.9144669728111445,276.338,-0.01185358542011656,6.2314000000000025,-3.445405884530977,6,-0.3979260009421954,5,-0.5972081960804562,0,-0.3280244387956955,0.0,-0.3417722365669969
