ID,observed_solubility,mean_prediction,prediction_sd,prediction_range,n_predictions,residual,absolute_error,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3,observed_solubility_region,uncertainty_rank,error_rank
A-2761,-7.3271074817,-9.160455019488614,2.9560046776274733,5.840437403003151,3,1.8333475377886144,1.8333475377886144,424.7540000000004,9.931799999999996,0,0,25,0.9642857142857144,< -6,1.0,733.0
A-2551,-5.6135997753,-8.44375906900697,2.6608435964668025,5.317306588967596,3,2.830159293706971,2.830159293706971,410.7710000000004,9.997099999999996,0,0,25,1.0,-6 to < -4,2.0,195.0
A-2658,-6.6281415672,-8.053615474726216,1.9208431045736494,3.7669028150440766,3,1.4254739075262162,1.4254739075262162,424.7580000000002,7.876200000000009,0,0,24,0.9629629629629628,< -6,3.0,1336.0
A-212,-7.2523945018000004,-7.653934999567085,1.621986096354568,3.1270184400331935,3,0.4015404977670842,0.4015404977670842,482.7900000000005,9.186800000000003,0,0,25,0.9333333333333332,< -6,4.0,5392.0
A-5013,-4.3499005787,-7.619559646093283,1.5015062238649095,2.9271220056785623,3,3.269659067393283,3.269659067393283,514.7880000000006,10.609999999999992,0,0,26,0.9333333333333332,-6 to < -4,5.0,113.0
A-3068,-5.1490404299,-8.014511599463232,1.4233141528165822,2.778838661821231,3,2.8654711695632313,2.8654711695632313,422.8260000000003,11.08439999999999,0,0,21,1.0,-6 to < -4,6.0,187.0
B-2402,-13.1719,-8.789050311022926,1.4075187678818049,1.9905321308331168,2,-4.382849688977075,4.382849688977075,653.73,9.716199999999992,5,0,0,0.7777777777777778,< -6,7.0,26.0
A-1553,-4.3767049743,-6.399596247255857,1.2760086513930715,2.513968449125035,3,2.0228912729558575,2.0228912729558575,430.907,4.682900000000003,0,0,12,1.0,-6 to < -4,8.0,575.0
A-5803,-7.2887340171,-7.333500124534393,1.272702718602307,2.5416893957647355,3,0.04476610743439302,0.04476610743439302,414.108,5.354500000000002,0,0,5,1.0,< -6,9.0,7846.0
A-2724,-6.9550061959,-7.409486302474082,1.264503234697194,2.465798941575291,3,0.45448010657408133,0.45448010657408133,450.7920000000004,10.487999999999992,0,0,26,0.9,< -6,10.0,5088.0
A-6060,-7.5649937324000005,-4.2441886334396015,1.216103579681944,2.122666214063318,3,-3.320805098960399,3.320805098960399,367.2770000000001,-2.7986999999999984,4,2,0,0.0,< -6,11.0,106.0
B-2871,-3.6344,-7.038727941393238,1.1994949036958982,2.3868508441052416,3,3.404327941393238,3.404327941393238,430.907,5.725700000000003,0,0,12,1.0,-4 to < -2,12.0,96.0
A-2418,-7.801238331,-8.2886449251692,1.1702365303246027,1.654964372369487,2,0.4874065941691992,0.4874065941691992,632.7590000000001,10.485039999999993,4,2,4,0.6571428571428571,< -6,13.0,4890.0
B-4424,-12.0605,-9.98878443404161,1.1644847819540602,2.487200867633936,4,-2.071715565958389,2.071715565958389,459.75400000000025,8.8118,3,2,0,0.0,< -6,14.0,535.0
B-2857,-11.5827,-9.863077540354276,1.1115117379369779,2.181106631747012,3,-1.7196224596457252,1.7196224596457252,443.7550000000001,8.813199999999998,3,3,0,0.0,< -6,15.0,870.0
A-2728,-6.855595468500002,-5.545217304711888,1.015406725041016,2.0266969867624134,3,-1.3103781637881138,1.3103781637881138,358.56300000000005,5.000200000000006,0,0,18,0.9523809523809524,< -6,16.0,1602.0
A-6042,-7.214642713,-5.370398420772217,0.9992975948400006,1.4132202114695431,2,-1.844244292227783,1.844244292227783,306.5379999999999,6.823600000000007,1,1,16,0.85,< -6,17.0,726.0
B-2832,-11.4795,-9.38044863165818,0.984110333522699,2.1220486855347787,4,-2.0990513683418204,2.0990513683418204,425.3090000000002,8.1584,3,2,0,0.0,< -6,18.0,519.0
A-3146,0.7924026819,-1.1029749073483635,0.9445890389922288,1.8064877621861162,3,1.8953775892483633,1.8953775892483633,140.19,-1.0197999999999992,4,0,0,1.0,0 to < 2,19.0,684.0
